Dataset_Type,Dataset_Category,Checkpoint_Percentage,Method,N_Datasets,N_Experiments,ARI_Mean,ARI_Std,ARI_Best,NMI_Mean,NMI_Std,NMI_Best,Silhouette_Score_Mean,Silhouette_Score_Std,Silhouette_Score_Best,F-score_Mean,F-score_Std,F-score_Best,Log_Precision_Mean,Log_Precision_Std,Log_Precision_Best,Log_Fitness_Mean,Log_Fitness_Std,Log_Fitness_Best
Real-life,BPIC2012,20,DupliMend,1,5,,,,,,,0.8346723607882747,0.07847923138822793,0.9260146657621398,0.5125698356951077,0.0057463273052667,0.5228491784755395,0.4981998759848834,0.0113990592744057,0.51859113311858,0.5279132839323928,0.0004111890552102,0.5280971732682036
Real-life,BPIC2012,40,DupliMend,1,5,,,,,,,0.844339379436763,0.06875664116805573,0.9583684942670451,0.5426638518027256,0.0224551267243099,0.5592461593653325,0.5344813042171628,0.0566777928611318,0.5985092469371803,0.5579669782762594,0.0511828938225173,0.6432894951620917
Real-life,BPIC2012,60,DupliMend,1,5,,,,,,,0.861980514530579,0.07697494707820945,0.951004597708417,0.6087055412938707,0.0351932161588985,0.6503824112015812,0.5693823609350472,0.0438431775456399,0.6293520451196808,0.6568638424065871,0.0525856266543147,0.7301709827101855
Real-life,BPIC2012,80,DupliMend,1,5,,,,,,,0.8545556014913692,0.07474136752138244,0.9709770194061061,0.6295498135649569,0.0166151555164197,0.6536443414301982,0.6361779819314994,0.0714337298284196,0.7302350385081487,0.6348063519411561,0.0706310015088043,0.7365253724097334
Real-life,BPIC2012,100,DupliMend,1,5,,,,,,,0.8432983312158433,0.05989499894055426,0.937777194012956,0.4546915331545715,0.0087095938916217,0.4635733753062246,0.4213521288904796,0.0445161340199698,0.473449412282552,0.5026877655005505,0.0497937461733723,0.5679733459934789
Real-life,BPIC2013_Closed_Problems,20,DupliMend,1,5,,,,,,,0.8689482315777903,0.07609371175115584,0.9095675396750642,0.5972792486445296,0.0032247225179239,0.6005917965306216,0.6049645684259457,0.0025335616856866,0.6090986148379454,0.5864040003222758,0.0048713127084419,0.591992086092158
Real-life,BPIC2013_Closed_Problems,40,DupliMend,1,5,,,,,,,0.8311595088521633,0.034424625102595974,0.9570595829778396,0.6278468111430986,0.0043910541664739,0.6344609797323928,0.6097371183097458,0.0064080930151672,0.6166440602827631,0.6456313779922019,0.0050512117165348,0.6504900717108051
Real-life,BPIC2013_Closed_Problems,60,DupliMend,1,5,,,,,,,0.8433715718828174,0.03979914312095726,0.9608628038893517,0.6815712666548421,0.0094158886430713,0.6928171906466757,0.76462143359403,0.0027879816920507,0.7677817741115625,0.618767572286215,0.0031641676510927,0.6232078316184331
Real-life,BPIC2013_Closed_Problems,80,DupliMend,1,5,,,,,,,0.8493089474634953,0.0322613644455269,0.9449021758055597,0.775985470929457,0.0053155676549437,0.7818563154849572,0.7939352165492931,0.0058939538495683,0.8013325350289524,0.7764943747066748,0.0040601784294367,0.7824030175964328
Real-life,BPIC2013_Closed_Problems,100,DupliMend,1,5,,,,,,,0.8564855987373629,0.046266516538163216,0.9616773743963649,0.8299999999999998,0.0066180400335045,0.8381225052002895,0.8700000000000001,0.0052306315950948,0.8745730558361824,0.8,0.0037565651575564,0.8044727272644335
