EventID,CaseID,Timestamp,Resource,Feature_1,Feature_2,Feature_3,Activity
0,1,2023-01-01 08:00:00,Resource_3,4.732324564621393,9.202897709560489,6.3971912658189805,Activity_0
1,1,2023-01-01 08:01:00,Resource_4,4.21399817866068,8.533490262106962,6.169887039912904,Activity_0
2,1,2023-01-01 08:02:00,Resource_3,3.0802592406111815,8.538036580363547,6.125512898619244,Activity_0
3,1,2023-01-01 08:03:00,Resource_3,4.099841823165335,8.930219795766405,6.247940207814918,Activity_0
4,1,2023-01-01 08:04:00,Resource_4,5.222462172386594,9.016296855923834,6.693038041397796,Activity_0
5,2,2023-01-01 08:05:00,Resource_0,3.6850003258214716,8.672480771804702,6.617009174106582,Activity_0
6,2,2023-01-01 08:06:00,Resource_3,3.6423988119082957,8.673333470087396,6.331075152671758,Activity_0
7,2,2023-01-01 08:07:00,Resource_0,4.868857249122167,8.552355943062791,6.629164527626393,Activity_0
8,2,2023-01-01 08:08:00,Resource_1,4.353990612919293,8.208758519998522,6.736360256288834,Activity_0
9,2,2023-01-01 08:09:00,Resource_1,2.96288309492781,8.588447485896943,6.665257098040769,Activity_0
10,3,2023-01-01 08:10:00,Resource_1,4.052037314894629,9.260060864458339,6.127385787353902,Activity_0
11,3,2023-01-01 08:11:00,Resource_0,3.1510710500992545,9.989553512035556,7.167421052295141,Activity_0
12,3,2023-01-01 08:12:00,Resource_0,4.114527301651929,7.937660267302666,6.793970443483854,Activity_0
13,3,2023-01-01 08:13:00,Resource_0,3.75017701665954,8.797411943747285,6.4942780036632595,Activity_0
14,3,2023-01-01 08:14:00,Resource_4,4.233779554224218,9.263054574780712,7.079094623840837,Activity_0
15,4,2023-01-01 08:15:00,Resource_3,4.320217055490066,8.924973851147042,6.930450781875994,Activity_0
16,4,2023-01-01 08:16:00,Resource_4,4.10834987256948,9.306952908545213,6.392341339863811,Activity_0
17,4,2023-01-01 08:17:00,Resource_2,3.8498886685357894,9.225443256181133,7.310048473071868,Activity_0
18,4,2023-01-01 08:18:00,Resource_2,2.9205066459577407,9.3539207880825,6.165047038330432,Activity_0
19,4,2023-01-01 08:19:00,Resource_1,4.334822250694668,7.509307792939161,7.042879710974068,Activity_0
20,5,2023-01-01 08:20:00,Resource_4,3.252359644731572,8.678777199220656,6.602019826955622,Activity_0
21,5,2023-01-01 08:21:00,Resource_4,4.423305040076876,9.270946590296955,6.641428624317531,Activity_0
22,5,2023-01-01 08:22:00,Resource_2,3.233419925359919,8.914348837466617,6.6998053735247,Activity_0
23,5,2023-01-01 08:23:00,Resource_3,4.246762987868179,9.069904510746436,7.21102178525247,Activity_0
