CaseID,Activity,Timestamp,MineName,MineType,MineTypeGroup,Inspectorate,MineStatus,AdministeredBy,MineCluster,Region,MineAddress,MineAddressTown,MineAddressState,MineAddressPostalCode,MineDecLat,MineDecLon,EventID,EventType (1A),HazardClass,HazardType,Incident Type (5A),Surface or Underground (5A),Hazard Code Description (5A),InspectionType (MRE),Status (MRE),DisplayTitle (CA),Section (CA),Directive_disp (CA),CANumber
MI01865,Incident,2016-12-04 14:00:00,Middlemount Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,C- Emerald,Central,Dysart Road,MIDDLEMOUNT,QLD,4746.0,-22.88143889,148.63889,1,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI01547,Incident,2016-12-29 21:30:00,Broadmeadow Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,,,,,,,-21.83,147.97998,2,High Potential Incident,Mechanical,Other,High potential no lost time,underground,Moving components/parts,,,,,,
MI00749,Incident,2016-12-30 08:45:00,Moorvale Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,,,,,,-21.9697,148.37113,3,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Uneven surfaces,,,,,,
MI01413,Incident,2016-12-31 00:50:00,Weipa,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Townsville Office,,,,,,,-12.67,141.86861,4,High Potential Incident,Vehicle,Collision with another vehicle,High potential no lost time,surface,Restricted visibility,,,,,,
MI00239,Incident,2016-12-31 05:30:00,Rocklands,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Mount Isa Office,,,,,,,-20.65,140.36036,5,High Potential Incident,Gravity,Fall of equipment/material,High potential no lost time,surface,Falling/flying material/objects,,,,,,
MI01150,Incident,2016-12-31 10:38:00,Newlands Mine - Open Cut,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Newlands Access Road,Via Glenden,QLD,4743.0,-21.21217,147.88636,6,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01404,Incident,2016-12-31 12:07:00,Oaky North Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,Central,Oaky Creek Mine Access Road,LILYVALE,QLD,4723.0,-23.03935,148.53987,7,High Potential Incident,Gas Management,Withdrawal due to high gas levels or ventilation failure,High potential no lost time,surface,Electrical equipment,,,,,,
MI00254,Incident,2016-12-31 12:40:00,Foxleigh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dysart-Middlemount Road,MIDDLEMOUNT,QLD,4746.0,-22.9836,148.77829,8,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI01546,Incident,2016-12-31 22:30:00,George Fisher Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,,,,,,,-20.57,139.47761,9,High Potential Incident,Gravity,Fall of equipment/material,,,,,,,,,
MI01865,Incident,2017-01-01 03:05:00,Middlemount Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,C- Emerald,Central,Dysart Road,MIDDLEMOUNT,QLD,4746.0,-22.88143889,148.63889,10,Serious Accident,Gravity,Fall of people,High potential lost time,surface,Other,,,,,,
MI00054,Incident,2017-01-01 03:10:00,Blackwater Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Ardurad Road (Blackwater Rolleston Road),BLACKWATER,QLD,4717.0,-23.7697,148.87879,11,High Potential Incident,Gravity,Fall of a structure,High potential no lost time,surface,Falling/flying material/objects,,,,,,
MI00054,Incident,2017-01-01 09:05:00,Blackwater Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Ardurad Road (Blackwater Rolleston Road),BLACKWATER,QLD,4717.0,-23.7697,148.87879,12,High Potential Incident,Gravity,Fall of equipment/material,High potential no lost time,surface,Falling/flying material/objects,,,,,,
MI01190,Incident,2017-01-01 16:00:00,Peak Downs,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.25686,148.17664,13,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01648,Incident,2017-01-01 21:00:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,14,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01569,Incident,2017-01-02 04:30:00,Rolleston Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-24.44,148.41844,15,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI00159,Incident,2017-01-02 05:30:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,16,High Potential Incident,Vehicle,Rollover,High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI00159,Incident,2017-01-02 05:30:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,17,High Potential Incident,Vehicle,Rollover,High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI01162,Incident,2017-01-02 20:00:00,Oaky Creek No. 1 Colliery,Coal Mine - Underground,Coal Mine - Underground,COAL,Closed,Rockhampton Office,,Central,,,,,-23.07071,148.49695,18,High Potential Incident,Electrical,Cable Damage,High potential no lost time,underground,Electrical equipment,,,,,,
