SYSCALL_pid,SYSCALL_timestamp,SYSCALL_syscall,PROCESS_uid,SYSCALL_success,SYSCALL_exit,SYSCALL_exit_hint,PROCESS_comm,CUSTOM_openFiles,CUSTOM_libs,base_activity_label,ground_truth_activity_label,EventID
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_547208,0,mmap,www-data,yes,548108500992.0,548108500992,apache2,[],[],mmap_www-data,mmap_www-data_yes,1
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_547208,0,clone,www-data,yes,549559.0,549559,apache2,[],[],clone_www-data,clone_www-data_yes,2
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_547208,4,munmap,www-data,yes,0.0,0,apache2,[],[],munmap_www-data,munmap_www-data_yes,3
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_547208,4,close,www-data,yes,0.0,0,apache2,[],[],close_www-data,close_www-data_yes,4
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,execve,www-data,yes,0.0,0,sh,[],[],execve_www-data,execve_www-data_yes,5
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,openat,www-data,yes,3.0,3,sh,['ld.so.cache'],[],openat_www-data,openat_www-data_yes,6
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,mmap,www-data,yes,548272189440.0,548272189440,sh,['ld.so.cache'],[],mmap_www-data,mmap_www-data_yes,7
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,close,www-data,yes,0.0,0,sh,[],[],close_www-data,close_www-data_yes,8
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,openat,www-data,yes,3.0,3,sh,['libc.so.6'],[],openat_www-data,openat_www-data_yes,9
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,mmap,www-data,yes,548272181248.0,548272181248,sh,['libc.so.6'],[],mmap_www-data,mmap_www-data_yes,10
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,mmap,www-data,yes,548270505984.0,548270505984,sh,['libc.so.6'],['libc.so.6'],mmap_www-data,mmap_www-data_yes,11
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,mmap,www-data,yes,548271996928.0,548271996928,sh,['libc.so.6'],['libc.so.6'],mmap_www-data,mmap_www-data_yes,12
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,mmap,www-data,yes,548272021504.0,548272021504,sh,['libc.so.6'],['libc.so.6'],mmap_www-data,mmap_www-data_yes,13
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,close,www-data,yes,0.0,0,sh,[],['libc.so.6'],close_www-data,close_www-data_yes,14
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,munmap,www-data,yes,0.0,0,sh,[],['libc.so.6'],munmap_www-data,munmap_www-data_yes,15
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549559,4,clone,www-data,yes,549560.0,549560,sh,[],[],clone_www-data,clone_www-data_yes,16
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,4,execve,www-data,yes,0.0,0,date,[],[],execve_www-data,execve_www-data_yes,17
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,openat,www-data,yes,3.0,3,date,['ld.so.cache'],[],openat_www-data,openat_www-data_yes,18
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,mmap,www-data,yes,548548870144.0,548548870144,date,['ld.so.cache'],[],mmap_www-data,mmap_www-data_yes,19
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,close,www-data,yes,0.0,0,date,[],[],close_www-data,close_www-data_yes,20
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,openat,www-data,yes,3.0,3,date,['libc.so.6'],[],openat_www-data,openat_www-data_yes,21
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,mmap,www-data,yes,548548861952.0,548548861952,date,['libc.so.6'],[],mmap_www-data,mmap_www-data_yes,22
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,mmap,www-data,yes,548547186688.0,548547186688,date,['libc.so.6'],['libc.so.6'],mmap_www-data,mmap_www-data_yes,23
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,mmap,www-data,yes,548548677632.0,548548677632,date,['libc.so.6'],['libc.so.6'],mmap_www-data,mmap_www-data_yes,24
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,mmap,www-data,yes,548548702208.0,548548702208,date,['libc.so.6'],['libc.so.6'],mmap_www-data,mmap_www-data_yes,25
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,close,www-data,yes,0.0,0,date,[],['libc.so.6'],close_www-data,close_www-data_yes,26
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,munmap,www-data,yes,0.0,0,date,[],['libc.so.6'],munmap_www-data,munmap_www-data_yes,27
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,8,openat,www-data,yes,3.0,3,date,['localtime'],['libc.so.6'],openat_www-data,openat_www-data_yes,28
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549560,12,close,www-data,yes,0.0,0,date,[],['libc.so.6'],close_www-data,close_www-data_yes,29
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_547208,12,close,www-data,yes,0.0,0,apache2,[],[],close_www-data,close_www-data_yes,30
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_547208,20,close,www-data,yes,0.0,0,apache2,[],[],close_www-data,close_www-data_yes,31
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_405,736,clone,root,yes,549561.0,549561,cron,[],[],clone_root,clone_root_yes,32
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,close,root,yes,0.0,0,cron,[],[],close_root,close_root_yes,33
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,openat,root,yes,6.0,6,cron,['tmp'],[],openat_root,openat_root_yes,34
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,openat,root,yes,7.0,7,cron,"['tmp', 'cron']",[],openat_root,openat_root_yes,35
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,openat,root,yes,8.0,8,cron,"['tmp', 'cron', 'common-auth']",[],openat_root,openat_root_yes,36
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,openat,root,yes,9.0,9,cron,"['tmp', 'cron', 'common-auth', 'pam_unix.so']",[],openat_root,openat_root_yes,37
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548134039552.0,548134039552,cron,"['tmp', 'cron', 'common-auth', 'pam_unix.so']",['pam_unix.so'],mmap_root,mmap_root_yes,38
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548134154240.0,548134154240,cron,"['tmp', 'cron', 'common-auth', 'pam_unix.so']",['pam_unix.so'],mmap_root,mmap_root_yes,39
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548134162432.0,548134162432,cron,"['tmp', 'cron', 'common-auth', 'pam_unix.so']",['pam_unix.so'],mmap_root,mmap_root_yes,40
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,close,root,yes,0.0,0,cron,"['tmp', 'cron', 'common-auth']",['pam_unix.so'],close_root,close_root_yes,41
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,openat,root,yes,9.0,9,cron,"['tmp', 'cron', 'common-auth', 'ld.so.cache']",['pam_unix.so'],openat_root,openat_root_yes,42
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548134006784.0,548134006784,cron,"['tmp', 'cron', 'common-auth', 'ld.so.cache']",['pam_unix.so'],mmap_root,mmap_root_yes,43
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,openat,root,yes,9.0,9,cron,"['tmp', 'cron', 'common-auth', 'libcrypt.so.1']",['pam_unix.so'],openat_root,openat_root_yes,44
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548133707776.0,548133707776,cron,"['tmp', 'cron', 'common-auth', 'libcrypt.so.1']","['pam_unix.so', 'libcrypt.so.1']",mmap_root,mmap_root_yes,45
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548133965824.0,548133965824,cron,"['tmp', 'cron', 'common-auth', 'libcrypt.so.1']","['pam_unix.so', 'libcrypt.so.1']",mmap_root,mmap_root_yes,46
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548133974016.0,548133974016,cron,"['tmp', 'cron', 'common-auth', 'libcrypt.so.1']","['pam_unix.so', 'libcrypt.so.1']",mmap_root,mmap_root_yes,47
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,close,root,yes,0.0,0,cron,"['tmp', 'cron', 'common-auth']","['pam_unix.so', 'libcrypt.so.1']",close_root,close_root_yes,48
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,openat,root,yes,9.0,9,cron,"['tmp', 'cron', 'common-auth', 'libnsl.so.2']","['pam_unix.so', 'libcrypt.so.1']",openat_root,openat_root_yes,49
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548133543936.0,548133543936,cron,"['tmp', 'cron', 'common-auth', 'libnsl.so.2']","['pam_unix.so', 'libcrypt.so.1', 'libnsl.so.2']",mmap_root,mmap_root_yes,50
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548133691392.0,548133691392,cron,"['tmp', 'cron', 'common-auth', 'libnsl.so.2']","['pam_unix.so', 'libcrypt.so.1', 'libnsl.so.2']",mmap_root,mmap_root_yes,51
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,mmap,root,yes,548133699584.0,548133699584,cron,"['tmp', 'cron', 'common-auth', 'libnsl.so.2']","['pam_unix.so', 'libcrypt.so.1', 'libnsl.so.2']",mmap_root,mmap_root_yes,52
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,close,root,yes,0.0,0,cron,"['tmp', 'cron', 'common-auth']","['pam_unix.so', 'libcrypt.so.1', 'libnsl.so.2']",close_root,close_root_yes,53
fd393f66-c51b-44d3-bc85-0f8e2c1094dd_549561,736,openat,root,yes,9.0,9,cron,"['tmp', 'cron', 'common-auth', 'libtirpc.so.3']","['pam_unix.so', 'libcrypt.so.1', 'libnsl.so.2']",openat_root,openat_root_yes,54
