EventID,CaseID,Timestamp,Activity,Resource,NumericFeature_1,NumericFeature_2
1,1,2023-01-01 08:00:00,Archive,UserB,6.78,14.89
2,1,2023-01-01 08:05:00,Review,UserA,10.67,11.87
3,1,2023-01-01 08:10:00,Submit,UserB,8.92,4.91
4,1,2023-01-01 08:15:00,Review,UserC,8.53,17.49
5,1,2023-01-01 08:20:00,Approve,UserA,13.17,13.72
6,1,2023-01-01 08:25:00,Submit,UserA,7.27,4.66
7,1,2023-01-01 08:30:00,Submit,UserA,3.32,1.67
8,1,2023-01-01 08:35:00,Review,UserB,14.03,13.23
9,1,2023-01-01 08:40:00,Submit,UserB,3.49,4.43
10,1,2023-01-01 08:45:00,Submit,UserA,4.34,4.64
11,2,2023-01-01 08:00:00,Approve,UserB,5.25,16.0
12,2,2023-01-01 08:05:00,Archive,UserC,9.16,18.16
13,2,2023-01-01 08:10:00,Review,UserA,5.01,18.3
14,2,2023-01-01 08:15:00,Review,UserC,9.72,14.93
15,2,2023-01-01 08:20:00,Submit,UserA,5.99,3.06
16,2,2023-01-01 08:25:00,Submit,UserA,1.62,2.32
17,2,2023-01-01 08:30:00,Submit,UserA,5.21,4.02
18,2,2023-01-01 08:35:00,Submit,System,6.52,3.76
19,2,2023-01-01 08:40:00,Submit,UserA,2.67,3.35
20,2,2023-01-01 08:45:00,Approve,UserA,6.04,11.09
21,3,2023-01-01 08:00:00,Submit,UserB,2.43,3.61
22,3,2023-01-01 08:05:00,Archive,UserC,5.32,11.84
23,3,2023-01-01 08:10:00,Submit,UserA,7.06,2.0
24,3,2023-01-01 08:15:00,Approve,UserA,11.14,17.51
25,3,2023-01-01 08:20:00,Review,UserA,5.32,18.0
26,3,2023-01-01 08:25:00,Review,UserC,12.65,16.6
27,3,2023-01-01 08:30:00,Submit,UserA,1.78,3.46
28,3,2023-01-01 08:35:00,Approve,UserA,9.81,14.93
29,3,2023-01-01 08:40:00,Submit,System,6.47,3.78
30,3,2023-01-01 08:45:00,Submit,UserB,9.91,4.13
31,4,2023-01-01 08:00:00,Review,UserA,6.91,11.88
32,4,2023-01-01 08:05:00,Review,UserA,11.77,14.59
33,4,2023-01-01 08:10:00,Submit,System,5.65,3.39
34,4,2023-01-01 08:15:00,Submit,System,3.78,4.23
35,4,2023-01-01 08:20:00,Submit,UserB,6.1,4.03
36,4,2023-01-01 08:25:00,Archive,UserA,5.72,10.49
37,4,2023-01-01 08:30:00,Submit,UserA,4.92,1.31
38,4,2023-01-01 08:35:00,Submit,System,9.51,1.58
39,4,2023-01-01 08:40:00,Approve,UserB,12.91,15.3
40,4,2023-01-01 08:45:00,Submit,UserA,6.95,3.61
41,5,2023-01-01 08:00:00,Submit,UserB,9.57,3.07
42,5,2023-01-01 08:05:00,Archive,UserA,10.92,18.57
43,5,2023-01-01 08:10:00,Submit,System,7.61,4.01
44,5,2023-01-01 08:15:00,Submit,System,6.85,1.87
45,5,2023-01-01 08:20:00,Submit,UserA,8.17,2.53
46,5,2023-01-01 08:25:00,Review,UserB,7.41,19.68
47,5,2023-01-01 08:30:00,Submit,UserB,3.96,4.05
48,5,2023-01-01 08:35:00,Submit,UserA,9.64,1.61
49,5,2023-01-01 08:40:00,Submit,UserB,4.64,2.14
50,5,2023-01-01 08:45:00,Submit,UserA,8.93,2.66
51,6,2023-01-01 08:00:00,Submit,UserA,3.3,3.02
52,6,2023-01-01 08:05:00,Submit,UserA,5.9,4.52
53,6,2023-01-01 08:10:00,Approve,UserA,11.03,12.0
54,6,2023-01-01 08:15:00,Review,UserC,10.39,13.62
55,6,2023-01-01 08:20:00,Review,UserC,10.13,17.5
56,6,2023-01-01 08:25:00,Approve,UserB,7.5,12.75
57,6,2023-01-01 08:30:00,Approve,UserC,12.61,19.7
58,6,2023-01-01 08:35:00,Archive,UserB,8.78,14.22
59,6,2023-01-01 08:40:00,Approve,UserA,11.29,17.67
60,6,2023-01-01 08:45:00,Approve,UserB,12.04,15.63
61,7,2023-01-01 08:00:00,Submit,System,1.37,1.66
62,7,2023-01-01 08:05:00,Review,UserA,14.91,18.61
63,7,2023-01-01 08:10:00,Review,UserC,11.19,17.55
64,7,2023-01-01 08:15:00,Review,UserC,6.51,13.0
65,7,2023-01-01 08:20:00,Archive,UserA,10.02,16.87
66,7,2023-01-01 08:25:00,Submit,UserA,7.69,3.71
67,7,2023-01-01 08:30:00,Submit,UserA,8.65,2.19
68,7,2023-01-01 08:35:00,Submit,System,1.23,1.48
69,7,2023-01-01 08:40:00,Submit,UserA,8.56,2.77
70,7,2023-01-01 08:45:00,Submit,UserA,3.21,3.33
71,8,2023-01-01 08:00:00,Review,UserB,6.14,14.7
72,8,2023-01-01 08:05:00,Archive,UserC,9.82,16.75
73,8,2023-01-01 08:10:00,Submit,UserB,7.7,3.65
74,8,2023-01-01 08:15:00,Approve,UserB,13.45,18.19
75,8,2023-01-01 08:20:00,Archive,UserC,13.21,17.29
76,8,2023-01-01 08:25:00,Submit,UserA,3.47,1.77
77,8,2023-01-01 08:30:00,Submit,System,5.68,2.96
78,8,2023-01-01 08:35:00,Review,UserA,10.58,17.58
79,8,2023-01-01 08:40:00,Review,UserB,5.87,12.73
80,8,2023-01-01 08:45:00,Submit,UserA,1.41,1.49
81,9,2023-01-01 08:00:00,Submit,System,7.38,4.32
82,9,2023-01-01 08:05:00,Submit,UserA,4.12,2.19
83,9,2023-01-01 08:10:00,Submit,UserA,7.49,1.51
84,9,2023-01-01 08:15:00,Archive,UserA,12.03,15.83
85,9,2023-01-01 08:20:00,Review,UserC,6.07,17.52
86,9,2023-01-01 08:25:00,Submit,UserA,5.15,1.66
87,9,2023-01-01 08:30:00,Archive,UserA,8.74,14.75
88,9,2023-01-01 08:35:00,Review,UserB,13.22,12.23
89,9,2023-01-01 08:40:00,Submit,UserB,1.76,1.32
90,9,2023-01-01 08:45:00,Submit,System,1.94,1.9
91,10,2023-01-01 08:00:00,Review,UserB,6.93,13.29
92,10,2023-01-01 08:05:00,Submit,UserA,8.79,4.15
93,10,2023-01-01 08:10:00,Approve,UserA,6.22,13.08
94,10,2023-01-01 08:15:00,Archive,UserC,14.7,13.57
95,10,2023-01-01 08:20:00,Review,UserC,8.39,19.99
96,10,2023-01-01 08:25:00,Submit,System,5.02,2.26
97,10,2023-01-01 08:30:00,Submit,UserA,7.85,3.29
98,10,2023-01-01 08:35:00,Submit,UserA,7.65,2.87
99,10,2023-01-01 08:40:00,Submit,UserA,3.37,3.63
100,10,2023-01-01 08:45:00,Submit,UserB,9.34,3.75
