EventID,CaseID,Activity,Timestamp,Resource,Location,Shift,Department,ProcessingTime,PriorityLevel,FileSize
E_1,Case_1,Submit,2025-01-30T10:26:35.666853,User_2,Headquarters,Afternoon,Finance,101,1,0.75
E_2,Case_1,Submit,2025-01-30T11:11:35.666853,User_4,Branch_C,Afternoon,IT,82,5,7.93
E_3,Case_1,Review,2025-01-30T13:03:35.666853,User_1,Branch_A,Afternoon,Operations,23,4,6.35
E_4,Case_1,Submit,2025-01-30T14:06:35.666853,User_3,Branch_A,Afternoon,Operations,30,3,0.71
E_5,Case_1,Approve,2025-01-30T15:01:35.666853,User_3,Branch_C,Afternoon,Finance,33,1,9.64
E_6,Case_1,Submit,2025-01-30T15:34:35.666853,User_3,Headquarters,Morning,HR,89,1,3.77
E_7,Case_1,Finalize,2025-01-30T17:08:35.666853,User_3,Branch_A,Morning,Finance,41,1,4.24
E_64,Case_10,Submit,2025-01-22T10:26:35.666853,User_4,Branch_B,Morning,HR,95,2,0.69
E_65,Case_10,Archive,2025-01-22T12:14:35.666853,User_4,Branch_B,Night,Operations,117,5,1.32
E_66,Case_10,Review,2025-01-22T13:07:35.666853,User_1,Branch_B,Night,Finance,63,1,3.64
E_67,Case_10,Submit,2025-01-22T14:31:35.666853,User_4,Branch_A,Night,HR,70,2,6.35
E_68,Case_10,Approve,2025-01-22T14:37:35.666853,User_4,Branch_C,Night,HR,95,4,6.39
E_69,Case_10,Submit,2025-01-22T15:59:35.666853,User_2,Branch_B,Afternoon,Finance,70,1,1.85
E_70,Case_10,Finalize,2025-01-22T16:54:35.666853,User_4,Headquarters,Morning,Operations,60,2,8.85
E_694,Case_100,Submit,2025-01-15T10:26:35.666853,User_2,Branch_C,Morning,Operations,64,1,4.0
E_695,Case_100,Archive,2025-01-15T11:20:35.666853,User_3,Branch_A,Afternoon,Operations,7,4,0.44
E_696,Case_100,Review,2025-01-15T12:20:35.666853,User_4,Branch_A,Morning,Operations,97,4,5.62
E_697,Case_100,Submit,2025-01-15T14:19:35.666853,User_3,Branch_B,Morning,IT,82,5,4.5
E_698,Case_100,Approve,2025-01-15T15:08:35.666853,User_2,Branch_A,Afternoon,Operations,12,1,8.72
E_699,Case_100,Submit,2025-01-15T15:54:35.666853,User_4,Branch_B,Morning,Operations,23,1,6.41
E_700,Case_100,Finalize,2025-01-15T16:01:35.666853,User_1,Branch_C,Morning,Operations,40,1,1.43
E_701,Case_101,Submit,2025-01-17T10:26:35.666853,User_3,Branch_B,Morning,Operations,53,1,8.67
E_702,Case_101,Archive,2025-01-17T12:15:35.666853,User_1,Branch_B,Morning,HR,2,4,5.16
E_703,Case_101,Submit,2025-01-17T13:08:35.666853,User_4,Branch_C,Night,Operations,17,3,4.41
E_704,Case_101,Review,2025-01-17T14:12:35.666853,User_4,Headquarters,Night,HR,82,2,2.48
E_705,Case_101,Submit,2025-01-17T14:54:35.666853,User_3,Headquarters,Afternoon,Operations,104,5,6.89
E_706,Case_101,Approve,2025-01-17T15:09:35.666853,User_1,Branch_B,Afternoon,Finance,101,2,5.35
E_707,Case_101,Finalize,2025-01-17T16:32:35.666853,User_1,Headquarters,Afternoon,HR,44,3,7.45
