EventID,CaseID,Timestamp,Activity,Resource,NumericFeature_1,NumericFeature_2,Version
1,1,2023-01-01 08:00:00,Submit,UserA,5.5,3.1,1
30,10,2023-01-01 08:00:01,Review,UserB,6.93,13.29,3
29,9,2023-01-01 08:00:02,Submit,System,7.38,4.32,3
28,8,2023-01-01 08:00:03,Review,UserB,6.14,14.7,3
27,7,2023-01-01 08:00:04,Submit,System,1.37,1.66,3
26,6,2023-01-01 08:00:05,Submit,UserA,3.3,3.02,3
25,5,2023-01-01 08:00:06,Submit,UserB,9.57,3.07,3
24,4,2023-01-01 08:00:07,Review,UserA,6.91,11.88,3
22,2,2023-01-01 08:00:08,Approve,UserB,5.25,16.0,3
21,1,2023-01-01 08:00:09,Archive,UserB,6.78,14.89,3
20,10,2023-01-01 08:00:10,Finalize,UserC,7.06,19.43,2
19,9,2023-01-01 08:00:11,Submit,UserC,12.64,17.1,2
18,8,2023-01-01 08:00:12,Submit,UserC,10.75,14.17,2
17,7,2023-01-01 08:00:13,Approve,UserB,5.28,16.15,2
16,6,2023-01-01 08:00:14,Review,UserC,8.65,17.78,2
23,3,2023-01-01 08:00:15,Submit,UserB,2.43,3.61,3
14,4,2023-01-01 08:00:16,Finalize,UserB,9.53,15.21,2
15,5,2023-01-01 08:00:17,Archive,UserA,14.76,15.51,2
2,2,2023-01-01 08:00:18,Review,UserA,5.92,18.61,1
3,3,2023-01-01 08:00:19,Archive,UserA,8.35,11.27,1
4,4,2023-01-01 08:00:20,Approve,UserA,12.43,16.71,1
5,5,2023-01-01 08:00:21,Submit,UserA,11.29,18.62,1
7,7,2023-01-01 08:00:22,Submit,UserA,7.7,16.58,1
6,6,2023-01-01 08:00:23,Submit,UserC,9.64,15.84,1
9,9,2023-01-01 08:00:24,Approve,UserC,5.35,12.56,1
10,10,2023-01-01 08:00:25,Approve,UserC,6.9,13.38,1
11,1,2023-01-01 08:00:26,Review,UserA,11.7,17.81,2
12,2,2023-01-01 08:00:27,Finalize,UserA,11.92,17.97,2
13,3,2023-01-01 08:00:28,Finalize,UserA,6.33,11.6,2
8,8,2023-01-01 08:00:29,Approve,UserC,8.21,19.4,1
48,8,2023-01-01 08:00:30,Submit,UserA,6.59,15.54,2
52,2,2023-01-01 08:00:31,Archive,UserC,9.16,18.16,3
49,9,2023-01-01 08:00:32,Finalize,UserA,6.06,19.29,2
50,10,2023-01-01 08:00:33,Finalize,UserC,10.56,12.3,2
51,1,2023-01-01 08:00:34,Review,UserA,10.67,11.87,3
53,3,2023-01-01 08:00:35,Archive,UserC,5.32,11.84,3
60,10,2023-01-01 08:00:36,Submit,UserA,8.79,4.15,3
55,5,2023-01-01 08:00:37,Archive,UserA,10.92,18.57,3
56,6,2023-01-01 08:00:38,Submit,UserA,5.9,4.52,3
57,7,2023-01-01 08:00:39,Review,UserA,14.91,18.61,3
58,8,2023-01-01 08:00:40,Archive,UserC,9.82,16.75,3
59,9,2023-01-01 08:00:41,Submit,UserA,4.12,2.19,3
47,7,2023-01-01 08:00:42,Submit,UserA,6.14,12.43,2
54,4,2023-01-01 08:00:43,Review,UserA,11.77,14.59,3
46,6,2023-01-01 08:00:44,Archive,UserC,11.31,18.43,2
38,8,2023-01-01 08:00:45,Approve,UserC,11.83,10.67,1
44,4,2023-01-01 08:00:46,Review,UserC,13.49,12.11,2
45,5,2023-01-01 08:00:47,Approve,UserB,9.05,10.76,2
31,1,2023-01-01 08:00:48,Submit,UserB,8.2,2.9,1
32,2,2023-01-01 08:00:49,Submit,UserC,5.72,12.99,1
33,3,2023-01-01 08:00:50,Archive,UserC,13.32,12.74,1
34,4,2023-01-01 08:00:51,Approve,UserA,9.75,19.22,1
36,6,2023-01-01 08:00:52,Approve,UserC,8.14,19.79,1
35,5,2023-01-01 08:00:53,Archive,UserB,13.35,13.24,1
39,9,2023-01-01 08:00:54,Submit,UserB,11.85,19.05,1
40,10,2023-01-01 08:00:55,Archive,UserC,11.83,12.19,1
41,1,2023-01-01 08:00:56,Archive,UserB,9.64,14.1,2
42,2,2023-01-01 08:00:57,Review,UserC,12.99,15.36,2
43,3,2023-01-01 08:00:58,Review,UserC,9.73,16.9,2
37,7,2023-01-01 08:00:59,Submit,UserC,12.44,18.49,1
78,8,2023-01-01 08:01:00,Archive,UserC,9.33,14.13,2
82,2,2023-01-01 08:01:01,Review,UserA,5.01,18.3,3
79,9,2023-01-01 08:01:02,Finalize,UserA,12.11,17.49,2
80,10,2023-01-01 08:01:03,Archive,UserB,7.45,14.1,2
81,1,2023-01-01 08:01:04,Submit,UserB,8.92,4.91,3
83,3,2023-01-01 08:01:05,Submit,UserA,7.06,2.0,3
90,10,2023-01-01 08:01:06,Approve,UserA,6.22,13.08,3
85,5,2023-01-01 08:01:07,Submit,System,7.61,4.01,3
86,6,2023-01-01 08:01:08,Approve,UserA,11.03,12.0,3
87,7,2023-01-01 08:01:09,Review,UserC,11.19,17.55,3
88,8,2023-01-01 08:01:10,Submit,UserB,7.7,3.65,3
89,9,2023-01-01 08:01:11,Submit,UserA,7.49,1.51,3
77,7,2023-01-01 08:01:12,Approve,UserA,9.1,11.7,2
84,4,2023-01-01 08:01:13,Submit,System,5.65,3.39,3
76,6,2023-01-01 08:01:14,Submit,UserB,14.99,10.65,2
67,7,2023-01-01 08:01:15,Archive,UserA,10.88,16.43,1
74,4,2023-01-01 08:01:16,Approve,UserA,5.01,15.39,2
61,1,2023-01-01 08:01:17,Submit,System,12.3,1.2,1
62,2,2023-01-01 08:01:18,Review,UserB,12.29,15.57,1
63,3,2023-01-01 08:01:19,Approve,UserA,9.82,18.61,1
64,4,2023-01-01 08:01:20,Archive,UserC,9.67,19.18,1
65,5,2023-01-01 08:01:21,Archive,UserA,5.44,18.02,1
66,6,2023-01-01 08:01:22,Review,UserC,7.76,17.46,1
75,5,2023-01-01 08:01:23,Approve,UserA,8.3,18.13,2
68,8,2023-01-01 08:01:24,Review,UserA,7.67,13.05,1
69,9,2023-01-01 08:01:25,Archive,UserC,5.4,13.88,1
70,10,2023-01-01 08:01:26,Approve,UserB,6.23,15.22,1
71,1,2023-01-01 08:01:27,Submit,UserA,8.28,13.07,2
72,2,2023-01-01 08:01:28,Finalize,UserC,14.2,15.72,2
73,3,2023-01-01 08:01:29,Finalize,UserB,8.52,19.42,2
107,7,2023-01-01 08:01:30,Approve,UserC,13.28,17.65,2
108,8,2023-01-01 08:01:31,Review,UserC,10.42,15.61,2
109,9,2023-01-01 08:01:32,Archive,UserA,8.77,16.33,2
110,10,2023-01-01 08:01:33,Archive,UserB,5.32,10.9,2
111,1,2023-01-01 08:01:34,Review,UserC,8.53,17.49,3
112,2,2023-01-01 08:01:35,Review,UserC,9.72,14.93,3
115,5,2023-01-01 08:01:36,Submit,System,6.85,1.87,3
114,4,2023-01-01 08:01:37,Submit,System,3.78,4.23,3
120,10,2023-01-01 08:01:38,Archive,UserC,14.7,13.57,3
116,6,2023-01-01 08:01:39,Review,UserC,10.39,13.62,3
117,7,2023-01-01 08:01:40,Review,UserC,6.51,13.0,3
118,8,2023-01-01 08:01:41,Approve,UserB,13.45,18.19,3
106,6,2023-01-01 08:01:42,Finalize,UserC,9.71,12.09,2
113,3,2023-01-01 08:01:43,Approve,UserA,11.14,17.51,3
119,9,2023-01-01 08:01:44,Archive,UserA,12.03,15.83,3
105,5,2023-01-01 08:01:45,Archive,UserB,12.81,12.65,2
103,3,2023-01-01 08:01:46,Submit,UserC,13.27,19.16,2
104,4,2023-01-01 08:01:47,Approve,UserA,6.53,11.17,2
91,1,2023-01-01 08:01:48,Submit,UserC,4.1,4.4,1
92,2,2023-01-01 08:01:49,Approve,UserA,12.17,15.88,1
93,3,2023-01-01 08:01:50,Submit,UserA,8.83,15.89,1
95,5,2023-01-01 08:01:51,Archive,UserB,8.97,17.26,1
96,6,2023-01-01 08:01:52,Archive,UserC,9.93,19.25,1
94,4,2023-01-01 08:01:53,Approve,UserC,5.1,18.57,1
98,8,2023-01-01 08:01:54,Approve,UserB,9.49,14.93,1
99,9,2023-01-01 08:01:55,Review,UserA,5.11,15.38,1
100,10,2023-01-01 08:01:56,Submit,UserB,7.01,15.1,1
101,1,2023-01-01 08:01:57,Submit,UserA,11.71,13.26,2
102,2,2023-01-01 08:01:58,Submit,UserA,7.37,12.03,2
97,7,2023-01-01 08:01:59,Approve,UserC,10.02,16.68,1
142,2,2023-01-01 08:02:00,Submit,UserA,5.99,3.06,3
138,8,2023-01-01 08:02:01,Approve,UserB,7.65,14.89,2
139,9,2023-01-01 08:02:02,Archive,UserB,11.84,18.65,2
140,10,2023-01-01 08:02:03,Approve,UserA,14.35,18.65,2
141,1,2023-01-01 08:02:04,Approve,UserA,13.17,13.72,3
143,3,2023-01-01 08:02:05,Review,UserA,5.32,18.0,3
137,7,2023-01-01 08:02:06,Finalize,UserC,11.41,11.63,2
145,5,2023-01-01 08:02:07,Submit,UserA,8.17,2.53,3
146,6,2023-01-01 08:02:08,Review,UserC,10.13,17.5,3
147,7,2023-01-01 08:02:09,Archive,UserA,10.02,16.87,3
148,8,2023-01-01 08:02:10,Archive,UserC,13.21,17.29,3
149,9,2023-01-01 08:02:11,Review,UserC,6.07,17.52,3
144,4,2023-01-01 08:02:12,Submit,UserB,6.1,4.03,3
136,6,2023-01-01 08:02:13,Review,UserB,11.58,18.21,2
150,10,2023-01-01 08:02:14,Review,UserC,8.39,19.99,3
134,4,2023-01-01 08:02:15,Approve,UserB,7.56,11.37,2
121,1,2023-01-01 08:02:16,Submit,UserA,6.7,3.3,1
122,2,2023-01-01 08:02:17,Archive,UserA,12.49,13.92,1
123,3,2023-01-01 08:02:18,Review,UserA,7.73,14.71,1
124,4,2023-01-01 08:02:19,Approve,UserC,5.17,13.8,1
125,5,2023-01-01 08:02:20,Archive,UserA,5.53,16.81,1
126,6,2023-01-01 08:02:21,Archive,UserC,8.77,13.86,1
135,5,2023-01-01 08:02:22,Submit,UserA,11.63,16.63,2
128,8,2023-01-01 08:02:23,Archive,UserC,7.45,17.79,1
129,9,2023-01-01 08:02:24,Approve,UserC,11.59,12.04,1
130,10,2023-01-01 08:02:25,Archive,UserA,12.68,17.46,1
131,1,2023-01-01 08:02:26,Submit,UserA,9.33,18.29,2
132,2,2023-01-01 08:02:27,Approve,UserB,5.05,14.83,2
133,3,2023-01-01 08:02:28,Archive,UserA,14.95,11.45,2
127,7,2023-01-01 08:02:29,Review,UserC,7.92,19.92,1
168,8,2023-01-01 08:02:30,Finalize,UserA,7.74,14.93,2
169,9,2023-01-01 08:02:31,Archive,UserB,5.87,14.17,2
170,10,2023-01-01 08:02:32,Archive,UserB,8.75,11.07,2
171,1,2023-01-01 08:02:33,Submit,UserA,7.27,4.66,3
172,2,2023-01-01 08:02:34,Submit,UserA,1.62,2.32,3
173,3,2023-01-01 08:02:35,Review,UserC,12.65,16.6,3
176,6,2023-01-01 08:02:36,Approve,UserB,7.5,12.75,3
175,5,2023-01-01 08:02:37,Review,UserB,7.41,19.68,3
177,7,2023-01-01 08:02:38,Submit,UserA,7.69,3.71,3
178,8,2023-01-01 08:02:39,Submit,UserA,3.47,1.77,3
179,9,2023-01-01 08:02:40,Submit,UserA,5.15,1.66,3
167,7,2023-01-01 08:02:41,Finalize,UserB,12.61,15.12,2
174,4,2023-01-01 08:02:42,Archive,UserA,5.72,10.49,3
166,6,2023-01-01 08:02:43,Approve,UserA,12.18,15.57,2
180,10,2023-01-01 08:02:44,Submit,System,5.02,2.26,3
164,4,2023-01-01 08:02:45,Review,UserA,11.67,10.83,2
151,1,2023-01-01 08:02:46,Archive,UserC,7.91,17.22,1
152,2,2023-01-01 08:02:47,Archive,UserA,12.69,10.68,1
153,3,2023-01-01 08:02:48,Approve,UserA,14.48,19.64,1
154,4,2023-01-01 08:02:49,Submit,UserB,8.39,19.6,1
155,5,2023-01-01 08:02:50,Review,UserC,7.01,14.98,1
156,6,2023-01-01 08:02:51,Submit,UserA,8.62,12.82,1
165,5,2023-01-01 08:02:52,Finalize,UserC,9.6,15.76,2
158,8,2023-01-01 08:02:53,Review,UserC,12.08,18.75,1
159,9,2023-01-01 08:02:54,Archive,UserC,5.84,11.31,1
160,10,2023-01-01 08:02:55,Archive,UserC,10.34,17.83,1
161,1,2023-01-01 08:02:56,Finalize,UserC,12.58,18.36,2
162,2,2023-01-01 08:02:57,Archive,UserA,6.22,16.1,2
163,3,2023-01-01 08:02:58,Archive,UserC,9.31,14.91,2
157,7,2023-01-01 08:02:59,Submit,UserC,13.38,16.63,1
197,7,2023-01-01 08:03:00,Review,UserC,5.51,12.14,2
198,8,2023-01-01 08:03:01,Archive,UserC,12.51,10.2,2
199,9,2023-01-01 08:03:02,Submit,UserA,6.93,12.74,2
200,10,2023-01-01 08:03:03,Approve,UserC,6.33,18.81,2
201,1,2023-01-01 08:03:04,Submit,UserA,3.32,1.67,3
202,2,2023-01-01 08:03:05,Submit,UserA,5.21,4.02,3
206,6,2023-01-01 08:03:06,Approve,UserC,12.61,19.7,3
204,4,2023-01-01 08:03:07,Submit,UserA,4.92,1.31,3
205,5,2023-01-01 08:03:08,Submit,UserB,3.96,4.05,3
207,7,2023-01-01 08:03:09,Submit,UserA,8.65,2.19,3
208,8,2023-01-01 08:03:10,Submit,System,5.68,2.96,3
209,9,2023-01-01 08:03:11,Archive,UserA,8.74,14.75,3
196,6,2023-01-01 08:03:12,Submit,UserC,12.81,17.53,2
203,3,2023-01-01 08:03:13,Submit,UserA,1.78,3.46,3
210,10,2023-01-01 08:03:14,Submit,UserA,7.85,3.29,3
195,5,2023-01-01 08:03:15,Approve,UserB,11.48,15.73,2
193,3,2023-01-01 08:03:16,Finalize,UserB,10.82,17.9,2
194,4,2023-01-01 08:03:17,Approve,UserC,7.02,15.58,2
181,1,2023-01-01 08:03:18,Review,UserB,13.27,16.26,1
182,2,2023-01-01 08:03:19,Review,UserA,7.88,18.74,1
183,3,2023-01-01 08:03:20,Review,UserB,14.88,10.39,1
185,5,2023-01-01 08:03:21,Review,UserB,5.63,12.49,1
186,6,2023-01-01 08:03:22,Archive,UserC,13.37,18.97,1
184,4,2023-01-01 08:03:23,Review,UserC,7.49,10.47,1
188,8,2023-01-01 08:03:24,Submit,UserB,6.17,11.07,1
189,9,2023-01-01 08:03:25,Review,UserB,14.25,18.46,1
190,10,2023-01-01 08:03:26,Archive,UserA,11.73,13.6,1
191,1,2023-01-01 08:03:27,Submit,UserC,13.86,15.12,2
192,2,2023-01-01 08:03:28,Archive,UserB,9.49,16.38,2
187,7,2023-01-01 08:03:29,Approve,UserC,14.23,17.16,1
232,2,2023-01-01 08:03:30,Submit,System,6.52,3.76,3
228,8,2023-01-01 08:03:31,Archive,UserA,13.93,19.09,2
229,9,2023-01-01 08:03:32,Review,UserA,8.94,19.4,2
230,10,2023-01-01 08:03:33,Approve,UserA,6.2,13.82,2
231,1,2023-01-01 08:03:34,Review,UserB,14.03,13.23,3
240,10,2023-01-01 08:03:35,Submit,UserA,7.65,2.87,3
239,9,2023-01-01 08:03:36,Review,UserB,13.22,12.23,3
234,4,2023-01-01 08:03:37,Submit,System,9.51,1.58,3
235,5,2023-01-01 08:03:38,Submit,UserA,9.64,1.61,3
236,6,2023-01-01 08:03:39,Archive,UserB,8.78,14.22,3
237,7,2023-01-01 08:03:40,Submit,System,1.23,1.48,3
238,8,2023-01-01 08:03:41,Review,UserA,10.58,17.58,3
227,7,2023-01-01 08:03:42,Submit,UserC,7.21,10.35,2
233,3,2023-01-01 08:03:43,Approve,UserA,9.81,14.93,3
226,6,2023-01-01 08:03:44,Review,UserB,5.86,14.4,2
218,8,2023-01-01 08:03:45,Archive,UserB,11.11,12.54,1
224,4,2023-01-01 08:03:46,Review,UserC,9.25,16.25,2
211,1,2023-01-01 08:03:47,Submit,UserB,13.69,15.54,1
212,2,2023-01-01 08:03:48,Review,UserA,7.61,12.07,1
213,3,2023-01-01 08:03:49,Approve,UserB,10.16,11.29,1
215,5,2023-01-01 08:03:50,Approve,UserA,9.39,11.4,1
216,6,2023-01-01 08:03:51,Archive,UserA,10.8,15.62,1
214,4,2023-01-01 08:03:52,Archive,UserA,13.23,10.77,1
219,9,2023-01-01 08:03:53,Submit,UserB,7.28,10.98,1
220,10,2023-01-01 08:03:54,Submit,UserB,8.69,16.28,1
221,1,2023-01-01 08:03:55,Submit,UserB,11.62,19.11,2
222,2,2023-01-01 08:03:56,Finalize,UserB,10.7,19.27,2
223,3,2023-01-01 08:03:57,Finalize,UserB,10.03,12.71,2
217,7,2023-01-01 08:03:58,Archive,UserB,6.97,11.1,1
225,5,2023-01-01 08:03:59,Archive,UserB,5.34,11.41,2
262,2,2023-01-01 08:04:00,Submit,UserA,2.67,3.35,3
258,8,2023-01-01 08:04:01,Submit,UserB,5.05,19.16,2
259,9,2023-01-01 08:04:02,Archive,UserA,6.63,15.3,2
260,10,2023-01-01 08:04:03,Archive,UserA,9.81,19.09,2
261,1,2023-01-01 08:04:04,Submit,UserB,3.49,4.43,3
270,10,2023-01-01 08:04:05,Submit,UserA,3.37,3.63,3
265,5,2023-01-01 08:04:06,Submit,UserB,4.64,2.14,3
266,6,2023-01-01 08:04:07,Approve,UserA,11.29,17.67,3
