2026-08-26 09:03:57,292 - DEBUG - matplotlib data path: /home/savi/duplimend_repro/venv311/lib/python3.11/site-packages/matplotlib/mpl-data
2026-08-26 09:03:57,296 - DEBUG - CONFIGDIR=/home/savi/.config/matplotlib
2026-08-26 09:03:57,297 - DEBUG - interactive is False
2026-08-26 09:03:57,298 - DEBUG - platform is linux
2026-08-26 09:03:57,663 - DEBUG - deprecate positional args: graphviz.backend.piping.pipe(['renderer', 'formatter', 'neato_no_op', 'quiet'])
2026-08-26 09:03:57,664 - DEBUG - deprecate positional args: graphviz.backend.rendering.render(['renderer', 'formatter', 'neato_no_op', 'quiet'])
2026-08-26 09:03:57,665 - DEBUG - deprecate positional args: graphviz.backend.unflattening.unflatten(['stagger', 'fanout', 'chain', 'encoding'])
2026-08-26 09:03:57,665 - DEBUG - deprecate positional args: graphviz.backend.viewing.view(['quiet'])
2026-08-26 09:03:57,668 - DEBUG - deprecate positional args: graphviz.quoting.quote(['is_html_string', 'is_valid_id', 'dot_keywords', 'endswith_odd_number_of_backslashes', 'escape_unescaped_quotes'])
2026-08-26 09:03:57,668 - DEBUG - deprecate positional args: graphviz.quoting.a_list(['kwargs', 'attributes'])
2026-08-26 09:03:57,669 - DEBUG - deprecate positional args: graphviz.quoting.attr_list(['kwargs', 'attributes'])
2026-08-26 09:03:57,669 - DEBUG - deprecate positional args: graphviz.dot.Dot.clear(['self', 'keep_attrs'])
2026-08-26 09:03:57,669 - DEBUG - deprecate positional args: graphviz.dot.Dot.__iter__(['self', 'subgraph'])
2026-08-26 09:03:57,669 - DEBUG - deprecate positional args: graphviz.dot.Dot.node(['label', '_attributes'])
2026-08-26 09:03:57,669 - DEBUG - deprecate positional args: graphviz.dot.Dot.edge(['label', '_attributes'])
2026-08-26 09:03:57,670 - DEBUG - deprecate positional args: graphviz.dot.Dot.attr(['kw', '_attributes'])
2026-08-26 09:03:57,670 - DEBUG - deprecate positional args: graphviz.dot.Dot.subgraph(['graph', 'name', 'comment', 'graph_attr', 'node_attr', 'edge_attr', 'body'])
2026-08-26 09:03:57,671 - DEBUG - deprecate positional args: graphviz.piping.Pipe._pipe_legacy(['format', 'renderer', 'formatter', 'neato_no_op', 'quiet'])
2026-08-26 09:03:57,671 - DEBUG - deprecate positional args: graphviz.saving.Save.save(['filename', 'directory'])
2026-08-26 09:03:57,672 - DEBUG - deprecate positional args: graphviz.rendering.Render.render(['filename', 'directory', 'view', 'cleanup', 'format', 'renderer', 'formatter', 'neato_no_op', 'quiet', 'quiet_view'])
2026-08-26 09:03:57,672 - DEBUG - deprecate positional args: graphviz.rendering.Render.view(['filename', 'directory', 'cleanup', 'quiet', 'quiet_view'])
2026-08-26 09:03:57,674 - DEBUG - deprecate positional args: graphviz.unflattening.Unflatten.unflatten(['self', 'stagger', 'fanout', 'chain'])
2026-08-26 09:03:57,674 - DEBUG - deprecate positional args: graphviz.graphs.BaseGraph.__init__(['name', 'comment', 'filename', 'directory', 'format', 'engine', 'encoding', 'graph_attr', 'node_attr', 'edge_attr', 'body', 'strict'])
2026-08-26 09:03:57,675 - DEBUG - deprecate positional args: graphviz.sources.Source.from_file(['filename', 'directory', 'format', 'engine', 'encoding', 'renderer', 'formatter'])
2026-08-26 09:03:57,675 - DEBUG - deprecate positional args: graphviz.sources.Source.__init__(['source', 'filename', 'directory', 'format', 'engine', 'encoding'])
2026-08-26 09:03:57,676 - DEBUG - deprecate positional args: graphviz.sources.Source.save(['filename', 'directory'])
2026-08-26 09:04:03,702 - DEBUG - CLUSTER_MANAGER - A: {'action': 'created_adapter', 'algorithm': 'river_dbstream'}
2026-08-26 09:04:03,702 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 0, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,706 - DEBUG - CLUSTER_MANAGER - F: {'action': 'created_adapter', 'algorithm': 'river_dbstream'}
2026-08-26 09:04:03,706 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 0, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,708 - DEBUG - CLUSTER_MANAGER - C: {'action': 'created_adapter', 'algorithm': 'river_dbstream'}
2026-08-26 09:04:03,708 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 0, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,710 - DEBUG - CLUSTER_MANAGER - E1: {'action': 'created_adapter', 'algorithm': 'river_dbstream'}
2026-08-26 09:04:03,710 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 0, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,711 - DEBUG - CLUSTER_MANAGER - B1: {'action': 'created_adapter', 'algorithm': 'river_dbstream'}
2026-08-26 09:04:03,711 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 0, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,713 - DEBUG - CLUSTER_MANAGER - D: {'action': 'created_adapter', 'algorithm': 'river_dbstream'}
2026-08-26 09:04:03,713 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 0, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,721 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 1, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,723 - DEBUG - CLUSTER_MANAGER - B2: {'action': 'created_adapter', 'algorithm': 'river_dbstream'}
2026-08-26 09:04:03,723 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 0, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,726 - DEBUG - CLUSTER_MANAGER - E2: {'action': 'created_adapter', 'algorithm': 'river_dbstream'}
2026-08-26 09:04:03,727 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 0, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,734 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 2, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,770 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 3, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,801 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 4, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:03,825 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 5, 'reason': 'river_new_cluster', 'feature_count': 64}
2026-08-26 09:04:04,654 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 6, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,661 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 7, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,668 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 8, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,729 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 9, 'reason': 'update_missing_cluster', 'feature_count': 64}
