EventID,case:concept:name,concept:name,time:timestamp,refined_concept:name
1,Case_513,A,2023-01-01 00:26:00+00:00,A
2,Case_513,C,2023-01-01 00:36:00+00:00,C
3,Case_167,A,2023-01-01 00:37:00+00:00,A
4,Case_513,D,2023-01-01 00:41:00+00:00,D
5,Case_513,B1,2023-01-01 00:41:00+00:00,B1
6,Case_513,B2,2023-01-01 00:57:00+00:00,B2
7,Case_167,C,2023-01-01 01:07:00+00:00,C
8,Case_167,D,2023-01-01 01:08:00+00:00,D
9,Case_167,B1,2023-01-01 01:11:00+00:00,B1
10,Case_167,B2,2023-01-01 01:43:00+00:00,B2
11,Case_513,A,2023-01-01 01:48:00+00:00,A
12,Case_484,A,2023-01-01 01:50:00+00:00,A
13,Case_167,A,2023-01-01 02:11:00+00:00,A
14,Case_513,F,2023-01-01 02:14:00+00:00,F
15,Case_484,C,2023-01-01 02:15:00+00:00,C
16,Case_484,D,2023-01-01 02:16:00+00:00,D
17,Case_283,A,2023-01-01 02:21:00+00:00,A
18,Case_484,B1,2023-01-01 02:21:00+00:00,B1
19,Case_167,F,2023-01-01 02:30:00+00:00,F
20,Case_283,C,2023-01-01 02:48:00+00:00,C
21,Case_283,D,2023-01-01 02:49:00+00:00,D
22,Case_283,B1,2023-01-01 02:50:00+00:00,B1
23,Case_899,A,2023-01-01 02:55:00+00:00,A
24,Case_484,B2,2023-01-01 03:01:00+00:00,B2
25,Case_899,C,2023-01-01 03:14:00+00:00,C
26,Case_899,D,2023-01-01 03:17:00+00:00,D
27,Case_283,B2,2023-01-01 03:19:00+00:00,B2
28,Case_899,B1,2023-01-01 03:19:00+00:00,B1
29,Case_513,A,2023-01-01 03:20:00+00:00,A
30,Case_150,A,2023-01-01 03:32:00+00:00,A
31,Case_484,A,2023-01-01 03:36:00+00:00,A
32,Case_283,A,2023-01-01 03:46:00+00:00,A
33,Case_899,B2,2023-01-01 03:49:00+00:00,B2
34,Case_167,A,2023-01-01 03:49:00+00:00,A
35,Case_484,F,2023-01-01 03:51:00+00:00,F
36,Case_392,A,2023-01-01 03:52:00+00:00,A
37,Case_150,C,2023-01-01 04:01:00+00:00,C
38,Case_392,C,2023-01-01 04:02:00+00:00,C
39,Case_150,D,2023-01-01 04:03:00+00:00,D
40,Case_150,B1,2023-01-01 04:05:00+00:00,B1
41,Case_392,D,2023-01-01 04:05:00+00:00,D
42,Case_392,B1,2023-01-01 04:08:00+00:00,B1
43,Case_283,E1,2023-01-01 04:16:00+00:00,E1
44,Case_899,A,2023-01-01 04:24:00+00:00,A
45,Case_484,A,2023-01-01 04:26:00+00:00,A
46,Case_392,B2,2023-01-01 04:44:00+00:00,B2
47,Case_150,B2,2023-01-01 04:44:00+00:00,B2
48,Case_899,E1,2023-01-01 04:48:00+00:00,E1
49,Case_283,E2,2023-01-01 04:51:00+00:00,E2
50,Case_899,E2,2023-01-01 05:20:00+00:00,E2
51,Case_283,A,2023-01-01 05:28:00+00:00,A
52,Case_150,A,2023-01-01 05:30:00+00:00,A
53,Case_392,A,2023-01-01 05:35:00+00:00,A
54,Case_899,A,2023-01-01 05:41:00+00:00,A
55,Case_392,F,2023-01-01 05:49:00+00:00,F
56,Case_150,E1,2023-01-01 05:50:00+00:00,E1
57,Case_559,A,2023-01-01 06:03:00+00:00,A
58,Case_559,C,2023-01-01 06:24:00+00:00,C
59,Case_150,E2,2023-01-01 06:26:00+00:00,E2
60,Case_626,A,2023-01-01 06:26:00+00:00,A
61,Case_559,D,2023-01-01 06:29:00+00:00,D
62,Case_559,B1,2023-01-01 06:30:00+00:00,B1
63,Case_150,A,2023-01-01 06:49:00+00:00,A
