EventID,Timestamp,OrgLabel,org:resource,concept:name,lifecycle:transition,case:concept:name
1,1,A,artificial,A,complete,"-1 [A, B, D, E, C, F, G, H, I]"
2,2,B,artificial,D_Dupli,complete,"-1 [A, B, D, E, C, F, G, H, I]"
3,3,D,artificial,D_Dupli,complete,"-1 [A, B, D, E, C, F, G, H, I]"
4,4,E,artificial,D_Dupli,complete,"-1 [A, B, D, E, C, F, G, H, I]"
5,5,C,artificial,D_Dupli,complete,"-1 [A, B, D, E, C, F, G, H, I]"
6,6,F,artificial,F,complete,"-1 [A, B, D, E, C, F, G, H, I]"
7,7,G,artificial,G,complete,"-1 [A, B, D, E, C, F, G, H, I]"
8,8,H,artificial,H,complete,"-1 [A, B, D, E, C, F, G, H, I]"
9,9,I,artificial,I,complete,"-1 [A, B, D, E, C, F, G, H, I]"
10,10,H,artificial,H,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
11,11,I,artificial,I,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
12,12,G,artificial,G,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
13,13,F,artificial,F,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
14,14,N,artificial,N,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
15,15,M,artificial,M,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
16,16,H,artificial,H,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
17,17,O,artificial,O,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
18,18,G,artificial,G,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
19,19,F,artificial,F,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
20,20,D,artificial,D_Dupli,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
21,21,C,artificial,D_Dupli,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
22,22,E,artificial,D_Dupli,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
23,23,B,artificial,D_Dupli,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
24,24,A,artificial,A,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
25,25,I,artificial,I,complete,"0 [A, B, E, C, D, F, G, I, H, M, N, O, F, G, I, H]"
26,26,H,artificial,H,complete,"1 [A, B, C, D, E, F, G, I, H]"
27,27,I,artificial,I,complete,"1 [A, B, C, D, E, F, G, I, H]"
28,28,G,artificial,G,complete,"1 [A, B, C, D, E, F, G, I, H]"
29,29,F,artificial,F,complete,"1 [A, B, C, D, E, F, G, I, H]"
30,30,E,artificial,D_Dupli,complete,"1 [A, B, C, D, E, F, G, I, H]"
31,31,C,artificial,D_Dupli,complete,"1 [A, B, C, D, E, F, G, I, H]"
32,32,B,artificial,D_Dupli,complete,"1 [A, B, C, D, E, F, G, I, H]"
33,33,A,artificial,A,complete,"1 [A, B, C, D, E, F, G, I, H]"
34,34,D,artificial,D_Dupli,complete,"1 [A, B, C, D, E, F, G, I, H]"
35,35,I,artificial,I,complete,"10 [A, B, E, C, D, F, G, H, I]"
36,36,E,artificial,D_Dupli,complete,"10 [A, B, E, C, D, F, G, H, I]"
37,37,C,artificial,D_Dupli,complete,"10 [A, B, E, C, D, F, G, H, I]"
38,38,D,artificial,D_Dupli,complete,"10 [A, B, E, C, D, F, G, H, I]"
39,39,F,artificial,F,complete,"10 [A, B, E, C, D, F, G, H, I]"
40,40,G,artificial,G,complete,"10 [A, B, E, C, D, F, G, H, I]"
41,41,H,artificial,H,complete,"10 [A, B, E, C, D, F, G, H, I]"
42,42,B,artificial,D_Dupli,complete,"10 [A, B, E, C, D, F, G, H, I]"
43,43,A,artificial,A,complete,"10 [A, B, E, C, D, F, G, H, I]"
44,44,H,artificial,H,complete,"100 [A, B, D, E, C, F, G, H, I]"
45,45,A,artificial,A,complete,"100 [A, B, D, E, C, F, G, H, I]"
