Case,Activity,Timestamp,Resource,Injection,org,EventID
0,Check for completeness,2023-09-29 09:00:00.000,Clerk-000001,,Check for completeness,1
0,New online application received,2023-09-29 09:00:00.000,,,New online application received,2
1,Check for completeness,2023-09-29 09:05:24.364,Clerk-000002,,Check for completeness,3
1,receive information,2023-09-29 09:05:24.364,,homonymous Label(Activity:'New online application received'),New online application received,4
0,Perform checks,2023-09-29 09:08:36.418,Clerk-000003,,Perform checks,5
0,Make decision,2023-09-29 09:09:43.339,Manager-000001,,Make decision,6
1,Perform checks,2023-09-29 09:10:28.617,Clerk-000004,,Perform checks,7
1,Make decision,2023-09-29 09:13:51.492,Manager-000002,,Make decision,8
0,send notification,2023-09-29 09:16:37.243,Manager-000003,homonymous Label(Activity:'Notify accept'),Notify accept,9
2,Check for completeness,2023-09-29 09:24:45.487,Clerk-000005,,Check for completeness,10
2,New online application received,2023-09-29 09:24:45.487,,,New online application received,11
2,application check,2023-09-29 09:25:09.241,Clerk-000006,homonymous Label(Activity:'Perform checks'),Perform checks,12
2,Make decision,2023-09-29 09:33:00.179,Manager-000004,,Make decision,13
1,send notification,2023-09-29 09:35:56.908,Manager-000005,homonymous Label(Activity:'Notify accept'),Notify accept,14
2,Notify accept,2023-09-29 09:37:36.568,Manager-000006,,Notify accept,15
2,Deliver card,2023-09-29 09:38:25.275,Manager-000001,,Deliver card,16
0,Deliver card,2023-09-29 09:39:19.386,Manager-000002,,Deliver card,17
2,EVENT 13 END,2023-09-29 09:43:20.919,,,EVENT 13 END,18
0,EVENT 13 END,2023-09-29 09:49:41.170,,,EVENT 13 END,19
1,Deliver card,2023-09-29 09:54:59.797,Manager-000004,,Deliver card,20
1,EVENT 13 END,2023-09-29 10:09:32.104,,,EVENT 13 END,21
3,Check for completeness,2023-09-29 11:04:02.737,Clerk-000001,,Check for completeness,22
3,New online application received,2023-09-29 11:04:02.737,,,New online application received,23
3,Request info,2023-09-29 11:14:01.072,Manager-000006,,Request info,24
3,request information,2023-09-29 11:22:56.200,,homonymous Label(Activity:'info received'),info received,25
3,Check for completeness,2023-09-29 11:23:06.200,Clerk-000003,,Check for completeness,26
3,Perform checks,2023-09-29 11:26:10.630,Clerk-000002,,Perform checks,27
4,New online application received,2023-09-29 11:34:38.887,,,New online application received,28
4,Check for completeness,2023-09-29 11:34:38.887,Clerk-000004,,Check for completeness,29
3,Make decision,2023-09-29 11:39:44.558,Manager-000003,,Make decision,30
4,Request info,2023-09-29 11:42:14.147,Manager-000001,,Request info,31
3,send notification,2023-09-29 11:44:04.637,Manager-000002,homonymous Label(Activity:'notify reject'),notify reject,32
3,time out,2023-09-29 11:55:24.525,,,time out,33
3,EVENT 13 END,2023-09-29 11:55:34.525,,,EVENT 13 END,34
5,Check for completeness,2023-09-29 11:58:51.818,Clerk-000005,,Check for completeness,36
5,New online application received,2023-09-29 11:58:51.818,,,New online application received,35
5,application check,2023-09-29 11:59:56.433,Clerk-000006,homonymous Label(Activity:'Perform checks'),Perform checks,37
5,Make decision,2023-09-29 12:06:54.570,Manager-000005,,Make decision,38
5,Notify accept,2023-09-29 12:13:00.166,Manager-000004,,Notify accept,39
5,Deliver card,2023-09-29 12:15:13.449,Manager-000006,,Deliver card,40
5,EVENT 13 END,2023-09-29 12:16:48.900,,,EVENT 13 END,41
4,info received,2023-09-29 12:28:45.322,,,info received,42
4,Check for completeness,2023-09-29 12:28:55.322,Clerk-000001,,Check for completeness,43
4,Perform checks,2023-09-29 12:54:48.341,Clerk-000003,,Perform checks,44
4,Make decision,2023-09-29 13:08:52.312,Manager-000003,,Make decision,45
6,Check for completeness,2023-09-29 13:17:49.926,Clerk-000002,,Check for completeness,47
6,New online application received,2023-09-29 13:17:49.926,,,New online application received,46
4,send notification,2023-09-29 13:20:24.260,Manager-000002,homonymous Label(Activity:'Notify accept'),Notify accept,48
7,New online application received,2023-09-29 13:24:12.521,,,New online application received,50
7,Check for completeness,2023-09-29 13:24:12.521,Clerk-000004,,Check for completeness,49
7,application check,2023-09-29 13:24:18.373,Clerk-000005,homonymous Label(Activity:'Perform checks'),Perform checks,51
7,Make decision,2023-09-29 13:29:26.239,Manager-000005,,Make decision,52
4,Deliver card,2023-09-29 13:31:16.944,Manager-000004,,Deliver card,53
4,EVENT 13 END,2023-09-29 13:33:29.765,,,EVENT 13 END,54
8,New online application received,2023-09-29 13:38:17.743,,,New online application received,55
8,Check for completeness,2023-09-29 13:38:17.743,Clerk-000006,,Check for completeness,56
7,send notification,2023-09-29 13:39:56.417,Manager-000006,homonymous Label(Activity:'Notify accept'),Notify accept,57
9,Check for completeness,2023-09-29 13:41:21.583,Clerk-000001,,Check for completeness,58
9,New online application received,2023-09-29 13:41:21.583,,,New online application received,59
6,Perform checks,2023-09-29 13:41:22.452,Clerk-000003,,Perform checks,60
7,Deliver card,2023-09-29 13:43:55.173,Manager-000001,,Deliver card,61
8,Request info,2023-09-29 13:43:58.067,Manager-000003,,Request info,62
8,request information,2023-09-29 13:45:28.311,,homonymous Label(Activity:'info received'),info received,63
8,Check for completeness,2023-09-29 13:45:38.311,Clerk-000004,,Check for completeness,64
6,Make decision,2023-09-29 13:45:49.138,Manager-000002,,Make decision,65
6,Notify accept,2023-09-29 13:46:40.377,Manager-000004,,Notify accept,66
7,EVENT 13 END,2023-09-29 13:58:02.645,,,EVENT 13 END,67
8,application check,2023-09-29 13:59:58.042,Clerk-000005,homonymous Label(Activity:'Perform checks'),Perform checks,68
8,Make decision,2023-09-29 14:00:04.900,Manager-000005,,Make decision,69
9,request information,2023-09-29 14:01:14.504,Manager-000006,homonymous Label(Activity:'Request info'),Request info,70
6,Deliver card,2023-09-29 14:12:17.370,Manager-000003,,Deliver card,71
8,send notification,2023-09-29 14:15:21.082,Manager-000002,homonymous Label(Activity:'notify reject'),notify reject,72
9,request information,2023-09-29 14:19:00.830,,homonymous Label(Activity:'info received'),info received,73
9,Check for completeness,2023-09-29 14:19:10.830,Clerk-000002,,Check for completeness,74
8,review request received,2023-09-29 14:19:47.442,,,review request received,75
8,Check for completeness,2023-09-29 14:19:57.442,Clerk-000006,,Check for completeness,76
6,EVENT 13 END,2023-09-29 14:25:51.968,,,EVENT 13 END,77
9,Request info,2023-09-29 14:27:41.671,Manager-000001,,Request info,78
8,Perform checks,2023-09-29 14:28:22.925,Clerk-000003,,Perform checks,79
9,request information,2023-09-29 14:33:09.099,,homonymous Label(Activity:'info received'),info received,80
9,Check for completeness,2023-09-29 14:33:19.099,Clerk-000004,,Check for completeness,81
8,Make decision,2023-09-29 14:34:51.646,Manager-000004,,Make decision,82
8,send notification,2023-09-29 14:36:15.619,Manager-000005,homonymous Label(Activity:'Notify accept'),Notify accept,83
8,Deliver card,2023-09-29 14:37:47.189,Manager-000006,,Deliver card,84
10,New online application received,2023-09-29 14:47:37.938,,,New online application received,86
10,Check for completeness,2023-09-29 14:47:37.938,Clerk-000005,,Check for completeness,85
10,request information,2023-09-29 14:48:51.317,Manager-000002,homonymous Label(Activity:'Request info'),Request info,87
8,EVENT 13 END,2023-09-29 14:52:19.738,,,EVENT 13 END,88
10,info received,2023-09-29 14:54:01.063,,,info received,89
10,Check for completeness,2023-09-29 14:54:11.063,Clerk-000001,,Check for completeness,90
9,Request info,2023-09-29 15:08:59.285,Manager-000003,,Request info,91
10,Perform checks,2023-09-29 15:12:40.802,Clerk-000002,,Perform checks,92
10,Make decision,2023-09-29 15:21:56.123,Manager-000001,,Make decision,93
10,send notification,2023-09-29 15:22:31.725,Manager-000004,homonymous Label(Activity:'Notify accept'),Notify accept,94
9,request information,2023-09-29 15:23:23.408,,homonymous Label(Activity:'info received'),info received,95
9,Check for completeness,2023-09-29 15:23:33.408,Clerk-000006,,Check for completeness,96
10,Deliver card,2023-09-29 15:23:49.967,Manager-000005,,Deliver card,97
9,application check,2023-09-29 15:33:37.833,Clerk-000003,homonymous Label(Activity:'Perform checks'),Perform checks,98
9,Make decision,2023-09-29 15:34:38.869,Manager-000006,,Make decision,99
10,EVENT 13 END,2023-09-29 15:36:59.534,,,EVENT 13 END,100
9,send notification,2023-09-29 15:54:24.867,Manager-000002,homonymous Label(Activity:'notify reject'),notify reject,101
11,New online application received,2023-09-29 16:06:37.359,,,New online application received,102
11,Check for completeness,2023-09-29 16:06:37.359,Clerk-000005,,Check for completeness,103
12,New online application received,2023-09-29 16:07:28.415,,,New online application received,104
12,Check for completeness,2023-09-29 16:07:28.415,Clerk-000004,,Check for completeness,105
11,Perform checks,2023-09-29 16:11:54.846,Clerk-000001,,Perform checks,106
9,time out,2023-09-29 16:12:43.247,,,time out,107
9,EVENT 13 END,2023-09-29 16:12:53.247,,,EVENT 13 END,108
13,New online application received,2023-09-29 16:14:30.309,,,New online application received,109
13,Check for completeness,2023-09-29 16:14:30.309,Clerk-000002,,Check for completeness,110
11,Make decision,2023-09-29 16:25:06.284,Manager-000001,,Make decision,111
11,notify reject,2023-09-29 16:26:23.405,Manager-000003,,notify reject,112
13,application check,2023-09-29 16:27:34.755,Clerk-000006,homonymous Label(Activity:'Perform checks'),Perform checks,113
13,Make decision,2023-09-29 16:28:03.056,Manager-000004,,Make decision,114
12,Request info,2023-09-29 16:28:15.647,Manager-000005,,Request info,115
11,time out,2023-09-29 16:29:27.938,,,time out,116
11,EVENT 13 END,2023-09-29 16:29:37.938,,,EVENT 13 END,117
12,request information,2023-09-29 16:33:32.086,,homonymous Label(Activity:'info received'),info received,118
12,Check for completeness,2023-09-29 16:33:42.086,Clerk-000003,,Check for completeness,119
13,send notification,2023-09-29 16:34:55.454,Manager-000006,homonymous Label(Activity:'notify reject'),notify reject,120
12,request information,2023-09-29 16:36:40.604,Manager-000002,homonymous Label(Activity:'Request info'),Request info,121
12,request information,2023-09-29 16:45:28.106,,homonymous Label(Activity:'info received'),info received,122
12,Check for completeness,2023-09-29 16:45:38.106,Clerk-000005,,Check for completeness,123
13,receive information,2023-09-29 16:46:57.319,,homonymous Label(Activity:'review request received'),review request received,124
