Case,Activity,Timestamp,Resource,Injection,org,EventID
0,Take order,2024-05-06 18:00:00.000,Waiter-000001,,Take order,1
0,start,2024-05-06 18:00:00.000,,,start,2
0,Review order,2024-05-06 18:00:26.397,Waiter-000002,,Review order,3
0,Prepare main course,2024-05-06 18:01:27.727,Cook-000001,,Prepare main course,4
0,prepare drinks,2024-05-06 18:01:27.727,Barman-000001,,prepare drinks,5
0,Signal food complete,2024-05-06 18:08:55.574,Cook-000002,,Signal food complete,6
0,bring order,2024-05-06 18:10:35.746,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,7
0,review,2024-05-06 18:13:26.601,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,8
1,Take order,2024-05-06 18:15:00.000,Waiter-000004,,Take order,9
1,start,2024-05-06 18:15:00.000,,,start,10
0,bring order,2024-05-06 18:17:06.274,Cook helper-000001,homonymous Label(Activity:'Bring food'),Bring food,11
1,Review order,2024-05-06 18:21:16.885,Waiter-000005,,Review order,12
1,prepare order,2024-05-06 18:21:19.290,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,13
1,Prepare main course,2024-05-06 18:21:19.290,Cook-000003,,Prepare main course,14
0,Deliver to customer,2024-05-06 18:28:15.901,Waiter-000001,,Deliver to customer,15
1,Signal food complete,2024-05-06 18:28:22.423,Cook-000001,,Signal food complete,16
0,EVENT 8 END,2024-05-06 18:28:36.374,,,EVENT 8 END,17
2,Take order,2024-05-06 18:30:00.000,Waiter-000002,,Take order,18
2,start,2024-05-06 18:30:00.000,,,start,19
2,Review order,2024-05-06 18:31:43.657,Waiter-000003,,Review order,20
1,Bring food,2024-05-06 18:32:39.040,Cook helper-000002,,Bring food,21
2,prepare order,2024-05-06 18:32:39.248,Barman-000001,homonymous Label(Activity:'prepare drinks'),prepare drinks,22
2,prepare order,2024-05-06 18:32:39.248,Cook-000002,homonymous Label(Activity:'Prepare main course'),Prepare main course,23
2,Prepare starter,2024-05-06 18:32:39.248,Cook helper-000003,,Prepare starter,24
2,Bring drinks,2024-05-06 18:33:35.761,Barman-000002,,Bring drinks,25
1,Bring drinks,2024-05-06 18:37:42.138,Barman-000001,,Bring drinks,26
1,review,2024-05-06 18:38:19.504,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,27
2,Review drinks,2024-05-06 18:41:33.110,Waiter-000005,,Review drinks,28
1,Deliver to customer,2024-05-06 18:41:38.777,Waiter-000001,,Deliver to customer,29
2,Signal food complete,2024-05-06 18:42:38.623,Cook-000003,,Signal food complete,30
3,Take order,2024-05-06 18:45:00.000,Waiter-000002,,Take order,31
3,start,2024-05-06 18:45:00.000,,,start,32
3,review,2024-05-06 18:45:42.434,Waiter-000003,homonymous Label(Activity:'Review order'),Review order,33
3,prepare order,2024-05-06 18:46:01.187,Cook-000001,homonymous Label(Activity:'Prepare main course'),Prepare main course,34
3,prepare drinks,2024-05-06 18:46:01.187,Barman-000003,,prepare drinks,35
3,bring order,2024-05-06 18:46:25.135,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,36
1,EVENT 8 END,2024-05-06 18:48:07.685,,,EVENT 8 END,37
3,Review drinks,2024-05-06 18:49:49.033,Waiter-000004,,Review drinks,38
2,bring order,2024-05-06 18:52:02.985,Cook helper-000001,homonymous Label(Activity:'Bring food'),Bring food,39
2,Deliver to customer,2024-05-06 18:52:55.482,Waiter-000005,,Deliver to customer,40
3,prepare drinks,2024-05-06 18:53:13.575,Barman-000002,,prepare drinks,41
2,EVENT 8 END,2024-05-06 18:56:24.810,,,EVENT 8 END,42
4,start,2024-05-06 19:00:00.000,,,start,43
4,Take order,2024-05-06 19:00:00.000,Waiter-000002,,Take order,44
4,Review order,2024-05-06 19:01:14.635,Waiter-000003,,Review order,45
4,prepare order,2024-05-06 19:01:40.513,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,46
