EventID,CaseID,Timestamp,Activity,PriorityLevel,FileSize,ProcessingTime,Resource
1,C00003_r0,2025-01-01 08:04:00,Start process,5,10,10.0,System
2,C00003_r1,2025-01-01 08:04:01,Start process,5,10,10.0,System
3,C00003_r2,2025-01-01 08:04:02,Start process,5,10,10.0,System
4,C00003_r0,2025-01-01 08:05:00,Check document,2,120,30.0,Clerk
5,C00003_r1,2025-01-01 08:05:01,Check document,2,120,30.0,Clerk
6,C00003_r2,2025-01-01 08:05:02,Check document,2,120,30.0,Clerk
7,C00003_r0,2025-01-01 08:06:00,Submit application,3,125,50.0,Clerk
8,C00003_r0,2025-01-01 08:06:01,Review submission,8,850,100.0,Reviewer
9,C00003_r1,2025-01-01 08:06:01,Submit application,3,125,50.0,Clerk
10,C00003_r2,2025-01-01 08:06:02,Submit application,3,125,50.0,Clerk
11,C00003_r1,2025-01-01 08:06:02,Review submission,8,850,100.0,Reviewer
12,C00003_r2,2025-01-01 08:06:03,Review submission,8,850,100.0,Reviewer
13,C00003_r0,2025-01-01 08:07:00,Disapprove application,2,130,20.0,review_board
14,C00003_r0,2025-01-01 08:07:01,Revise document,8,932,182.0,Supervisor
15,C00003_r1,2025-01-01 08:07:01,Approve application,2,130,20.0,Manager
18,C00003_r0,2025-01-01 08:07:02,Submit application,8,3710,249.6,Supervisor
16,C00003_r2,2025-01-01 08:07:02,Approve application,2,130,20.0,Manager
17,C00003_r1,2025-01-01 08:07:02,Complete process,0,0,0.0,System
19,C00003_r0,2025-01-01 08:07:03,Accept submission,1,922,145.6,Head Manager Assistant
20,C00003_r2,2025-01-01 08:07:03,Complete process,0,0,0.0,System
21,C00003_r0,2025-01-01 08:07:04,Complete process,0,0,0.0,System
22,C00007_r0,2025-01-01 08:12:00,Start process,5,10,10.0,System
23,C00007_r1,2025-01-01 08:12:01,Start process,5,10,10.0,System
24,C00007_r2,2025-01-01 08:12:02,Start process,5,10,10.0,System
25,C00007_r0,2025-01-01 08:13:00,Check document,2,120,30.0,Clerk
26,C00007_r1,2025-01-01 08:13:01,Check document,2,120,30.0,Clerk
27,C00007_r2,2025-01-01 08:13:02,Check document,2,120,30.0,Clerk
28,C00007_r0,2025-01-01 08:14:00,Submit application,1,150,32.0,Clerk
29,C00008_r0,2025-01-01 08:14:00,Start process,5,10,10.0,System
30,C00007_r1,2025-01-01 08:14:01,Submit application,1,150,32.0,Clerk
31,C00007_r0,2025-01-01 08:14:01,Review submission,8,850,100.0,Reviewer
32,C00008_r1,2025-01-01 08:14:01,Start process,5,10,10.0,System
35,C00007_r2,2025-01-01 08:14:02,Submit application,1,150,32.0,Clerk
33,C00008_r2,2025-01-01 08:14:02,Start process,5,10,10.0,System
34,C00007_r1,2025-01-01 08:14:02,Review submission,8,850,100.0,Reviewer
36,C00007_r2,2025-01-01 08:14:03,Review submission,8,850,100.0,Reviewer
37,C00007_r0,2025-01-01 08:15:00,Disapprove application,2,130,20.0,review_board
38,C00008_r0,2025-01-01 08:15:00,Check document,2,120,30.0,Clerk
39,C00008_r1,2025-01-01 08:15:01,Check document,2,120,30.0,Clerk
40,C00007_r1,2025-01-01 08:15:01,Approve application,2,130,20.0,Manager
41,C00007_r0,2025-01-01 08:15:01,Revise document,8,932,182.0,Supervisor
42,C00008_r2,2025-01-01 08:15:02,Check document,2,120,30.0,Clerk
43,C00007_r2,2025-01-01 08:15:02,Approve application,2,130,20.0,Manager
44,C00007_r1,2025-01-01 08:15:02,Complete process,0,0,0.0,System
45,C00007_r0,2025-01-01 08:15:02,Submit application,11,8916,227.3,Senior Analyst
46,C00007_r2,2025-01-01 08:15:03,Complete process,0,0,0.0,System
47,C00007_r0,2025-01-01 08:15:03,Reject submission,1,922,145.6,Head Manager Assistant
48,C00007_r0,2025-01-01 08:15:04,Complete process,0,0,0.0,System
49,C00008_r0,2025-01-01 08:16:00,Submit application,2,82,38.0,Junior Staff
50,C00008_r1,2025-01-01 08:16:01,Submit application,2,82,38.0,Junior Staff
51,C00008_r0,2025-01-01 08:16:01,Review submission,8,850,100.0,Reviewer
52,C00008_r1,2025-01-01 08:16:02,Review submission,8,850,100.0,Reviewer
53,C00008_r2,2025-01-01 08:16:02,Submit application,2,82,38.0,Junior Staff
54,C00008_r2,2025-01-01 08:16:03,Review submission,8,850,100.0,Reviewer
55,C00008_r0,2025-01-01 08:17:00,Approve application,2,130,20.0,Manager
56,C00008_r1,2025-01-01 08:17:01,Approve application,2,130,20.0,Manager
57,C00008_r0,2025-01-01 08:17:01,Complete process,0,0,0.0,System
58,C00008_r1,2025-01-01 08:17:02,Complete process,0,0,0.0,System
59,C00008_r2,2025-01-01 08:17:02,Disapprove application,2,130,20.0,review_board
60,C00008_r2,2025-01-01 08:17:03,Revise document,8,932,182.0,Supervisor
61,C00008_r2,2025-01-01 08:17:04,Submit application,8,3081,182.1,Senior Analyst
