EventID,CaseID,Timestamp,Activity,PriorityLevel,FileSize,ProcessingTime,Resource,ground_truth_activity
1,C00003_r0,2025-01-01 08:04:00,Start process,5,10,10.0,System,Start process
2,C00003_r1,2025-01-01 08:04:01,Start process,5,10,10.0,System,Start process
3,C00003_r2,2025-01-01 08:04:02,Start process,5,10,10.0,System,Start process
4,C00003_r0,2025-01-01 08:05:00,Check document,2,120,30.0,Clerk,Check document
5,C00003_r1,2025-01-01 08:05:01,Check document,2,120,30.0,Clerk,Check document
6,C00003_r2,2025-01-01 08:05:02,Check document,2,120,30.0,Clerk,Check document
7,C00003_r0,2025-01-01 08:06:00,Submit application,3,125,50.0,Clerk,First Submit Application
8,C00003_r0,2025-01-01 08:06:01,Review submission,8,850,100.0,Reviewer,Review submission
9,C00003_r1,2025-01-01 08:06:01,Submit application,3,125,50.0,Clerk,First Submit Application
10,C00003_r2,2025-01-01 08:06:02,Submit application,3,125,50.0,Clerk,First Submit Application
11,C00003_r1,2025-01-01 08:06:02,Review submission,8,850,100.0,Reviewer,Review submission
12,C00003_r2,2025-01-01 08:06:03,Review submission,8,850,100.0,Reviewer,Review submission
13,C00003_r0,2025-01-01 08:07:00,Disapprove application,2,130,20.0,review_board,Disapprove application
14,C00003_r0,2025-01-01 08:07:01,Revise document,8,932,182.0,Supervisor,Revise document
15,C00003_r1,2025-01-01 08:07:01,Approve application,2,130,20.0,Manager,Approve application
18,C00003_r0,2025-01-01 08:07:02,Submit application,8,3710,249.6,Supervisor,Second Submit Application
16,C00003_r2,2025-01-01 08:07:02,Approve application,2,130,20.0,Manager,Approve application
17,C00003_r1,2025-01-01 08:07:02,Complete process,0,0,0.0,System,Complete process
19,C00003_r0,2025-01-01 08:07:03,Accept submission,1,922,145.6,Head Manager Assistant,Accept submission
20,C00003_r2,2025-01-01 08:07:03,Complete process,0,0,0.0,System,Complete process
21,C00003_r0,2025-01-01 08:07:04,Complete process,0,0,0.0,System,Complete process
22,C00007_r0,2025-01-01 08:12:00,Start process,5,10,10.0,System,Start process
23,C00007_r1,2025-01-01 08:12:01,Start process,5,10,10.0,System,Start process
24,C00007_r2,2025-01-01 08:12:02,Start process,5,10,10.0,System,Start process
25,C00007_r0,2025-01-01 08:13:00,Check document,2,120,30.0,Clerk,Check document
26,C00007_r1,2025-01-01 08:13:01,Check document,2,120,30.0,Clerk,Check document
27,C00007_r2,2025-01-01 08:13:02,Check document,2,120,30.0,Clerk,Check document
28,C00007_r0,2025-01-01 08:14:00,Submit application,1,150,32.0,Clerk,First Submit Application
29,C00008_r0,2025-01-01 08:14:00,Start process,5,10,10.0,System,Start process
30,C00007_r1,2025-01-01 08:14:01,Submit application,1,150,32.0,Clerk,First Submit Application
31,C00007_r0,2025-01-01 08:14:01,Review submission,8,850,100.0,Reviewer,Review submission
32,C00008_r1,2025-01-01 08:14:01,Start process,5,10,10.0,System,Start process
35,C00007_r2,2025-01-01 08:14:02,Submit application,1,150,32.0,Clerk,First Submit Application
33,C00008_r2,2025-01-01 08:14:02,Start process,5,10,10.0,System,Start process
34,C00007_r1,2025-01-01 08:14:02,Review submission,8,850,100.0,Reviewer,Review submission
36,C00007_r2,2025-01-01 08:14:03,Review submission,8,850,100.0,Reviewer,Review submission
37,C00007_r0,2025-01-01 08:15:00,Disapprove application,2,130,20.0,review_board,Disapprove application
38,C00008_r0,2025-01-01 08:15:00,Check document,2,120,30.0,Clerk,Check document
39,C00008_r1,2025-01-01 08:15:01,Check document,2,120,30.0,Clerk,Check document
40,C00007_r1,2025-01-01 08:15:01,Approve application,2,130,20.0,Manager,Approve application
41,C00007_r0,2025-01-01 08:15:01,Revise document,8,932,182.0,Supervisor,Revise document
42,C00008_r2,2025-01-01 08:15:02,Check document,2,120,30.0,Clerk,Check document
43,C00007_r2,2025-01-01 08:15:02,Approve application,2,130,20.0,Manager,Approve application
44,C00007_r1,2025-01-01 08:15:02,Complete process,0,0,0.0,System,Complete process
45,C00007_r0,2025-01-01 08:15:02,Submit application,11,8916,227.3,Senior Analyst,Second Submit Application
46,C00007_r2,2025-01-01 08:15:03,Complete process,0,0,0.0,System,Complete process
47,C00007_r0,2025-01-01 08:15:03,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
48,C00007_r0,2025-01-01 08:15:04,Complete process,0,0,0.0,System,Complete process
49,C00008_r0,2025-01-01 08:16:00,Submit application,2,82,38.0,Junior Staff,First Submit Application
50,C00008_r1,2025-01-01 08:16:01,Submit application,2,82,38.0,Junior Staff,First Submit Application
51,C00008_r0,2025-01-01 08:16:01,Review submission,8,850,100.0,Reviewer,Review submission
52,C00008_r1,2025-01-01 08:16:02,Review submission,8,850,100.0,Reviewer,Review submission
53,C00008_r2,2025-01-01 08:16:02,Submit application,2,82,38.0,Junior Staff,First Submit Application
54,C00008_r2,2025-01-01 08:16:03,Review submission,8,850,100.0,Reviewer,Review submission
55,C00008_r0,2025-01-01 08:17:00,Approve application,2,130,20.0,Manager,Approve application
56,C00008_r1,2025-01-01 08:17:01,Approve application,2,130,20.0,Manager,Approve application
57,C00008_r0,2025-01-01 08:17:01,Complete process,0,0,0.0,System,Complete process
58,C00008_r1,2025-01-01 08:17:02,Complete process,0,0,0.0,System,Complete process
