EventID,CaseID,Timestamp,Activity,PriorityLevel,FileSize,ProcessingTime,Resource,ground_truth_activity
1,C00003_r0,2025-01-01 08:04:00,Start process,5,10,10.0,System,Start process
2,C00003_r1,2025-01-01 08:04:01,Start process,5,10,10.0,System,Start process
3,C00003_r2,2025-01-01 08:04:02,Start process,5,10,10.0,System,Start process
4,C00003_r0,2025-01-01 08:05:00,Check document,2,120,30.0,Clerk,Check document
5,C00003_r1,2025-01-01 08:05:01,Check document,2,120,30.0,Clerk,Check document
6,C00003_r2,2025-01-01 08:05:02,Check document,2,120,30.0,Clerk,Check document
7,C00003_r0,2025-01-01 08:06:00,Submit application,3,125,50.0,Clerk,First Submit Application
8,C00003_r1,2025-01-01 08:06:01,Submit application,3,125,50.0,Clerk,First Submit Application
9,C00003_r0,2025-01-01 08:06:01,Review submission,8,850,100.0,Reviewer,Review submission
10,C00003_r2,2025-01-01 08:06:02,Submit application,3,125,50.0,Clerk,First Submit Application
11,C00003_r1,2025-01-01 08:06:02,Review submission,8,850,100.0,Reviewer,Review submission
12,C00003_r2,2025-01-01 08:06:03,Review submission,8,850,100.0,Reviewer,Review submission
13,C00003_r0,2025-01-01 08:07:00,Disapprove application,2,130,20.0,review_board,Disapprove application
14,C00003_r0,2025-01-01 08:07:01,Revise document,8,932,182.0,Supervisor,Revise document
15,C00003_r1,2025-01-01 08:07:01,Approve application,2,130,20.0,Manager,Approve application
16,C00003_r0,2025-01-01 08:07:02,Submit application,8,3710,249.6,Supervisor,Second Submit Application
17,C00003_r1,2025-01-01 08:07:02,Complete process,0,0,0.0,System,Complete process
18,C00003_r2,2025-01-01 08:07:02,Approve application,2,130,20.0,Manager,Approve application
19,C00003_r2,2025-01-01 08:07:03,Complete process,0,0,0.0,System,Complete process
20,C00003_r0,2025-01-01 08:07:03,Send Revision Note,8,3710,249.6,Supervisor,Send Revision Note
21,C00003_r0,2025-01-01 08:07:04,Accept submission,1,922,145.6,Head Manager Assistant,Accept submission
22,C00003_r0,2025-01-01 08:07:05,Complete process,0,0,0.0,System,Complete process
23,C00007_r0,2025-01-01 08:12:00,Start process,5,10,10.0,System,Start process
24,C00007_r1,2025-01-01 08:12:01,Start process,5,10,10.0,System,Start process
25,C00007_r2,2025-01-01 08:12:02,Start process,5,10,10.0,System,Start process
26,C00007_r0,2025-01-01 08:13:00,Check document,2,120,30.0,Clerk,Check document
27,C00007_r1,2025-01-01 08:13:01,Check document,2,120,30.0,Clerk,Check document
28,C00007_r2,2025-01-01 08:13:02,Check document,2,120,30.0,Clerk,Check document
29,C00007_r0,2025-01-01 08:14:00,Submit application,1,150,32.0,Clerk,First Submit Application
30,C00008_r0,2025-01-01 08:14:00,Start process,5,10,10.0,System,Start process
31,C00007_r0,2025-01-01 08:14:01,Review submission,8,850,100.0,Reviewer,Review submission
32,C00008_r1,2025-01-01 08:14:01,Start process,5,10,10.0,System,Start process
33,C00007_r1,2025-01-01 08:14:01,Submit application,1,150,32.0,Clerk,First Submit Application
34,C00007_r2,2025-01-01 08:14:02,Submit application,1,150,32.0,Clerk,First Submit Application
35,C00007_r1,2025-01-01 08:14:02,Review submission,8,850,100.0,Reviewer,Review submission
36,C00008_r2,2025-01-01 08:14:02,Start process,5,10,10.0,System,Start process
37,C00007_r2,2025-01-01 08:14:03,Review submission,8,850,100.0,Reviewer,Review submission
38,C00008_r0,2025-01-01 08:15:00,Check document,2,120,30.0,Clerk,Check document
39,C00007_r0,2025-01-01 08:15:00,Disapprove application,2,130,20.0,review_board,Disapprove application
40,C00008_r1,2025-01-01 08:15:01,Check document,2,120,30.0,Clerk,Check document
41,C00007_r1,2025-01-01 08:15:01,Approve application,2,130,20.0,Manager,Approve application
42,C00007_r0,2025-01-01 08:15:01,Revise document,8,932,182.0,Supervisor,Revise document
43,C00007_r0,2025-01-01 08:15:02,Send Revision Note,11,8916,227.3,Senior Analyst,Send Revision Note
44,C00008_r2,2025-01-01 08:15:02,Check document,2,120,30.0,Clerk,Check document
45,C00007_r2,2025-01-01 08:15:02,Approve application,2,130,20.0,Manager,Approve application
46,C00007_r1,2025-01-01 08:15:02,Complete process,0,0,0.0,System,Complete process
47,C00007_r0,2025-01-01 08:15:03,Submit application,11,8916,227.3,Senior Analyst,Second Submit Application
48,C00007_r2,2025-01-01 08:15:03,Complete process,0,0,0.0,System,Complete process
49,C00007_r0,2025-01-01 08:15:04,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
50,C00007_r0,2025-01-01 08:15:05,Complete process,0,0,0.0,System,Complete process
51,C00008_r0,2025-01-01 08:16:00,Submit application,2,82,38.0,Junior Staff,First Submit Application
52,C00008_r1,2025-01-01 08:16:01,Submit application,2,82,38.0,Junior Staff,First Submit Application
53,C00008_r0,2025-01-01 08:16:01,Review submission,8,850,100.0,Reviewer,Review submission
54,C00008_r1,2025-01-01 08:16:02,Review submission,8,850,100.0,Reviewer,Review submission
55,C00008_r2,2025-01-01 08:16:02,Submit application,2,82,38.0,Junior Staff,First Submit Application
56,C00008_r2,2025-01-01 08:16:03,Review submission,8,850,100.0,Reviewer,Review submission
57,C00008_r0,2025-01-01 08:17:00,Approve application,2,130,20.0,Manager,Approve application
58,C00008_r0,2025-01-01 08:17:01,Complete process,0,0,0.0,System,Complete process
