EventID,case:concept:name,concept:name,time:timestamp
1,Case_513,A,2023-01-01 00:26:00+00:00
2,Case_513,C,2023-01-01 00:36:00+00:00
3,Case_167,A,2023-01-01 00:37:00+00:00
4,Case_513,D,2023-01-01 00:41:00+00:00
5,Case_513,B1,2023-01-01 00:41:00+00:00
6,Case_513,B2,2023-01-01 00:57:00+00:00
7,Case_167,C,2023-01-01 01:07:00+00:00
8,Case_167,D,2023-01-01 01:08:00+00:00
9,Case_167,B1,2023-01-01 01:11:00+00:00
10,Case_167,B2,2023-01-01 01:43:00+00:00
11,Case_513,A,2023-01-01 01:48:00+00:00
12,Case_484,A,2023-01-01 01:50:00+00:00
13,Case_167,A,2023-01-01 02:11:00+00:00
14,Case_513,F,2023-01-01 02:14:00+00:00
15,Case_484,C,2023-01-01 02:15:00+00:00
16,Case_484,D,2023-01-01 02:16:00+00:00
17,Case_283,A,2023-01-01 02:21:00+00:00
18,Case_484,B1,2023-01-01 02:21:00+00:00
19,Case_167,F,2023-01-01 02:30:00+00:00
20,Case_283,C,2023-01-01 02:48:00+00:00
21,Case_283,D,2023-01-01 02:49:00+00:00
22,Case_283,B1,2023-01-01 02:50:00+00:00
23,Case_899,A,2023-01-01 02:55:00+00:00
24,Case_484,B2,2023-01-01 03:01:00+00:00
25,Case_899,C,2023-01-01 03:14:00+00:00
26,Case_899,D,2023-01-01 03:17:00+00:00
27,Case_283,B2,2023-01-01 03:19:00+00:00
28,Case_899,B1,2023-01-01 03:19:00+00:00
29,Case_513,A,2023-01-01 03:20:00+00:00
30,Case_150,A,2023-01-01 03:32:00+00:00
31,Case_484,A,2023-01-01 03:36:00+00:00
32,Case_283,A,2023-01-01 03:46:00+00:00
33,Case_899,B2,2023-01-01 03:49:00+00:00
34,Case_167,A,2023-01-01 03:49:00+00:00
35,Case_484,F,2023-01-01 03:51:00+00:00
36,Case_392,A,2023-01-01 03:52:00+00:00
37,Case_150,C,2023-01-01 04:01:00+00:00
38,Case_392,C,2023-01-01 04:02:00+00:00
39,Case_150,D,2023-01-01 04:03:00+00:00
40,Case_150,B1,2023-01-01 04:05:00+00:00
41,Case_392,D,2023-01-01 04:05:00+00:00
42,Case_392,B1,2023-01-01 04:08:00+00:00
43,Case_283,E1,2023-01-01 04:16:00+00:00
44,Case_899,A,2023-01-01 04:24:00+00:00
45,Case_484,A,2023-01-01 04:26:00+00:00
46,Case_392,B2,2023-01-01 04:44:00+00:00
47,Case_150,B2,2023-01-01 04:44:00+00:00
48,Case_899,E1,2023-01-01 04:48:00+00:00
49,Case_283,E2,2023-01-01 04:51:00+00:00
50,Case_899,E2,2023-01-01 05:20:00+00:00
51,Case_283,A,2023-01-01 05:28:00+00:00
52,Case_150,A,2023-01-01 05:30:00+00:00
53,Case_392,A,2023-01-01 05:35:00+00:00
54,Case_899,A,2023-01-01 05:41:00+00:00
55,Case_392,F,2023-01-01 05:49:00+00:00
56,Case_150,E1,2023-01-01 05:50:00+00:00
57,Case_559,A,2023-01-01 06:03:00+00:00
58,Case_559,C,2023-01-01 06:24:00+00:00
59,Case_150,E2,2023-01-01 06:26:00+00:00
60,Case_626,A,2023-01-01 06:26:00+00:00
61,Case_559,D,2023-01-01 06:29:00+00:00
62,Case_559,B1,2023-01-01 06:30:00+00:00
63,Case_150,A,2023-01-01 06:49:00+00:00
64,Case_392,A,2023-01-01 06:54:00+00:00
65,Case_626,C,2023-01-01 06:54:00+00:00
66,Case_626,D,2023-01-01 06:56:00+00:00
67,Case_559,B2,2023-01-01 06:57:00+00:00
68,Case_626,B1,2023-01-01 06:59:00+00:00
69,Case_30,A,2023-01-01 07:05:00+00:00
70,Case_626,B2,2023-01-01 07:15:00+00:00
71,Case_30,C,2023-01-01 07:27:00+00:00
72,Case_30,D,2023-01-01 07:29:00+00:00
73,Case_30,B1,2023-01-01 07:29:00+00:00
74,Case_559,A,2023-01-01 07:46:00+00:00
75,Case_30,B2,2023-01-01 07:48:00+00:00
76,Case_214,A,2023-01-01 07:51:00+00:00
77,Case_559,E1,2023-01-01 08:06:00+00:00
78,Case_626,A,2023-01-01 08:10:00+00:00
79,Case_214,C,2023-01-01 08:15:00+00:00
80,Case_214,B1,2023-01-01 08:17:00+00:00
81,Case_214,D,2023-01-01 08:20:00+00:00
82,Case_365,A,2023-01-01 08:32:00+00:00
83,Case_626,E1,2023-01-01 08:35:00+00:00
84,Case_30,A,2023-01-01 08:40:00+00:00
85,Case_559,E2,2023-01-01 08:48:00+00:00
86,Case_214,B2,2023-01-01 08:55:00+00:00
87,Case_365,C,2023-01-01 08:57:00+00:00
88,Case_365,D,2023-01-01 09:00:00+00:00
89,Case_365,B1,2023-01-01 09:03:00+00:00
90,Case_30,F,2023-01-01 09:08:00+00:00
91,Case_559,A,2023-01-01 09:10:00+00:00
92,Case_626,E2,2023-01-01 09:20:00+00:00
93,Case_214,A,2023-01-01 09:24:00+00:00
94,Case_365,B2,2023-01-01 09:40:00+00:00
95,Case_626,A,2023-01-01 09:47:00+00:00
96,Case_214,E1,2023-01-01 09:47:00+00:00
97,Case_30,A,2023-01-01 09:49:00+00:00
98,Case_342,A,2023-01-01 10:10:00+00:00
99,Case_214,E2,2023-01-01 10:11:00+00:00
100,Case_365,A,2023-01-01 10:25:00+00:00
101,Case_214,A,2023-01-01 10:28:00+00:00
102,Case_402,A,2023-01-01 10:33:00+00:00
103,Case_342,C,2023-01-01 10:37:00+00:00
104,Case_342,D,2023-01-01 10:40:00+00:00
105,Case_342,B1,2023-01-01 10:44:00+00:00
106,Case_402,C,2023-01-01 10:50:00+00:00
107,Case_402,D,2023-01-01 10:53:00+00:00
108,Case_365,F,2023-01-01 10:55:00+00:00
109,Case_402,B1,2023-01-01 10:57:00+00:00
110,Case_775,A,2023-01-01 11:05:00+00:00
111,Case_402,B2,2023-01-01 11:14:00+00:00
112,Case_342,B2,2023-01-01 11:27:00+00:00
113,Case_775,C,2023-01-01 11:29:00+00:00
