EventID,case:concept:name,concept:name,time:timestamp,lifecycle:transition,ground_truth_activity
1,Case_513,A,2023-01-01 00:26:00+00:00,complete,A_start
2,Case_513,C,2023-01-01 00:36:00+00:00,complete,C
3,Case_167,A,2023-01-01 00:37:00+00:00,complete,A_start
4,Case_513,D,2023-01-01 00:41:00+00:00,complete,D
5,Case_513,B1,2023-01-01 00:41:00+00:00,complete,B1
6,Case_513,B2,2023-01-01 00:57:00+00:00,complete,B2
7,Case_167,C,2023-01-01 01:07:00+00:00,complete,C
8,Case_167,D,2023-01-01 01:08:00+00:00,complete,D
9,Case_167,B1,2023-01-01 01:11:00+00:00,complete,B1
10,Case_167,B2,2023-01-01 01:43:00+00:00,complete,B2
11,Case_513,A,2023-01-01 01:48:00+00:00,complete,A_middle
12,Case_484,A,2023-01-01 01:50:00+00:00,complete,A_start
13,Case_167,A,2023-01-01 02:11:00+00:00,complete,A_middle
14,Case_513,F,2023-01-01 02:14:00+00:00,complete,F
15,Case_484,C,2023-01-01 02:15:00+00:00,complete,C
16,Case_484,D,2023-01-01 02:16:00+00:00,complete,D
17,Case_283,A,2023-01-01 02:21:00+00:00,complete,A_start
18,Case_484,B1,2023-01-01 02:21:00+00:00,complete,B1
19,Case_167,F,2023-01-01 02:30:00+00:00,complete,F
20,Case_283,C,2023-01-01 02:48:00+00:00,complete,C
21,Case_283,D,2023-01-01 02:49:00+00:00,complete,D
22,Case_283,B1,2023-01-01 02:50:00+00:00,complete,B1
23,Case_899,A,2023-01-01 02:55:00+00:00,complete,A_start
24,Case_484,B2,2023-01-01 03:01:00+00:00,complete,B2
25,Case_899,C,2023-01-01 03:14:00+00:00,complete,C
26,Case_899,D,2023-01-01 03:17:00+00:00,complete,D
27,Case_283,B2,2023-01-01 03:19:00+00:00,complete,B2
28,Case_899,B1,2023-01-01 03:19:00+00:00,complete,B1
29,Case_513,A,2023-01-01 03:20:00+00:00,complete,A_end
30,Case_150,A,2023-01-01 03:32:00+00:00,complete,A_start
31,Case_484,A,2023-01-01 03:36:00+00:00,complete,A_middle
32,Case_283,A,2023-01-01 03:46:00+00:00,complete,A_middle
33,Case_899,B2,2023-01-01 03:49:00+00:00,complete,B2
34,Case_167,A,2023-01-01 03:49:00+00:00,complete,A_end
35,Case_484,F,2023-01-01 03:51:00+00:00,complete,F
36,Case_392,A,2023-01-01 03:52:00+00:00,complete,A_start
37,Case_150,C,2023-01-01 04:01:00+00:00,complete,C
38,Case_392,C,2023-01-01 04:02:00+00:00,complete,C
39,Case_150,D,2023-01-01 04:03:00+00:00,complete,D
40,Case_150,B1,2023-01-01 04:05:00+00:00,complete,B1
41,Case_392,D,2023-01-01 04:05:00+00:00,complete,D
42,Case_392,B1,2023-01-01 04:08:00+00:00,complete,B1
43,Case_283,E1,2023-01-01 04:16:00+00:00,complete,E1
44,Case_899,A,2023-01-01 04:24:00+00:00,complete,A_middle
45,Case_484,A,2023-01-01 04:26:00+00:00,complete,A_end
46,Case_392,B2,2023-01-01 04:44:00+00:00,complete,B2
47,Case_150,B2,2023-01-01 04:44:00+00:00,complete,B2
48,Case_899,E1,2023-01-01 04:48:00+00:00,complete,E1
49,Case_283,E2,2023-01-01 04:51:00+00:00,complete,E2
50,Case_899,E2,2023-01-01 05:20:00+00:00,complete,E2
51,Case_283,A,2023-01-01 05:28:00+00:00,complete,A_end
52,Case_150,A,2023-01-01 05:30:00+00:00,complete,A_middle
53,Case_392,A,2023-01-01 05:35:00+00:00,complete,A_middle
54,Case_899,A,2023-01-01 05:41:00+00:00,complete,A_end
55,Case_392,F,2023-01-01 05:49:00+00:00,complete,F
56,Case_150,E1,2023-01-01 05:50:00+00:00,complete,E1
57,Case_559,A,2023-01-01 06:03:00+00:00,complete,A_start
58,Case_559,C,2023-01-01 06:24:00+00:00,complete,C
59,Case_150,E2,2023-01-01 06:26:00+00:00,complete,E2
60,Case_626,A,2023-01-01 06:26:00+00:00,complete,A_start
61,Case_559,D,2023-01-01 06:29:00+00:00,complete,D
62,Case_559,B1,2023-01-01 06:30:00+00:00,complete,B1
63,Case_150,A,2023-01-01 06:49:00+00:00,complete,A_end
64,Case_392,A,2023-01-01 06:54:00+00:00,complete,A_end
65,Case_626,C,2023-01-01 06:54:00+00:00,complete,C
66,Case_626,D,2023-01-01 06:56:00+00:00,complete,D
67,Case_559,B2,2023-01-01 06:57:00+00:00,complete,B2
68,Case_626,B1,2023-01-01 06:59:00+00:00,complete,B1
69,Case_30,A,2023-01-01 07:05:00+00:00,complete,A_start
70,Case_626,B2,2023-01-01 07:15:00+00:00,complete,B2
71,Case_30,C,2023-01-01 07:27:00+00:00,complete,C
72,Case_30,D,2023-01-01 07:29:00+00:00,complete,D
73,Case_30,B1,2023-01-01 07:29:00+00:00,complete,B1
74,Case_559,A,2023-01-01 07:46:00+00:00,complete,A_middle
75,Case_30,B2,2023-01-01 07:48:00+00:00,complete,B2
76,Case_214,A,2023-01-01 07:51:00+00:00,complete,A_start
77,Case_559,E1,2023-01-01 08:06:00+00:00,complete,E1
78,Case_626,A,2023-01-01 08:10:00+00:00,complete,A_middle
79,Case_214,C,2023-01-01 08:15:00+00:00,complete,C
80,Case_214,B1,2023-01-01 08:17:00+00:00,complete,B1
81,Case_214,D,2023-01-01 08:20:00+00:00,complete,D
82,Case_365,A,2023-01-01 08:32:00+00:00,complete,A_start
83,Case_626,E1,2023-01-01 08:35:00+00:00,complete,E1
84,Case_30,A,2023-01-01 08:40:00+00:00,complete,A_middle
85,Case_559,E2,2023-01-01 08:48:00+00:00,complete,E2
86,Case_214,B2,2023-01-01 08:55:00+00:00,complete,B2
87,Case_365,C,2023-01-01 08:57:00+00:00,complete,C
88,Case_365,D,2023-01-01 09:00:00+00:00,complete,D
89,Case_365,B1,2023-01-01 09:03:00+00:00,complete,B1
90,Case_30,F,2023-01-01 09:08:00+00:00,complete,F
91,Case_559,A,2023-01-01 09:10:00+00:00,complete,A_end
92,Case_626,E2,2023-01-01 09:20:00+00:00,complete,E2
93,Case_214,A,2023-01-01 09:24:00+00:00,complete,A_middle
94,Case_365,B2,2023-01-01 09:40:00+00:00,complete,B2
95,Case_626,A,2023-01-01 09:47:00+00:00,complete,A_end
96,Case_214,E1,2023-01-01 09:47:00+00:00,complete,E1
97,Case_30,A,2023-01-01 09:49:00+00:00,complete,A_end
98,Case_342,A,2023-01-01 10:10:00+00:00,complete,A_start
99,Case_214,E2,2023-01-01 10:11:00+00:00,complete,E2
100,Case_365,A,2023-01-01 10:25:00+00:00,complete,A_middle
101,Case_214,A,2023-01-01 10:28:00+00:00,complete,A_end
102,Case_402,A,2023-01-01 10:33:00+00:00,complete,A_start
103,Case_342,C,2023-01-01 10:37:00+00:00,complete,C
104,Case_342,D,2023-01-01 10:40:00+00:00,complete,D
105,Case_342,B1,2023-01-01 10:44:00+00:00,complete,B1
106,Case_402,C,2023-01-01 10:50:00+00:00,complete,C
107,Case_402,D,2023-01-01 10:53:00+00:00,complete,D
108,Case_365,F,2023-01-01 10:55:00+00:00,complete,F
109,Case_402,B1,2023-01-01 10:57:00+00:00,complete,B1
110,Case_775,A,2023-01-01 11:05:00+00:00,complete,A_start
111,Case_402,B2,2023-01-01 11:14:00+00:00,complete,B2
112,Case_342,B2,2023-01-01 11:27:00+00:00,complete,B2
113,Case_775,C,2023-01-01 11:29:00+00:00,complete,C
114,Case_775,B1,2023-01-01 11:31:00+00:00,complete,B1
115,Case_775,D,2023-01-01 11:32:00+00:00,complete,D
116,Case_365,A,2023-01-01 11:51:00+00:00,complete,A_end
117,Case_775,B2,2023-01-01 11:56:00+00:00,complete,B2
118,Case_402,A,2023-01-01 12:01:00+00:00,complete,A_middle
119,Case_402,E1,2023-01-01 12:14:00+00:00,complete,E1
120,Case_342,A,2023-01-01 12:18:00+00:00,complete,A_middle
121,Case_775,A,2023-01-01 12:19:00+00:00,complete,A_middle
122,Case_139,A,2023-01-01 12:32:00+00:00,complete,A_start
123,Case_775,F,2023-01-01 12:38:00+00:00,complete,F
124,Case_342,F,2023-01-01 12:45:00+00:00,complete,F
125,Case_139,C,2023-01-01 12:46:00+00:00,complete,C
126,Case_139,D,2023-01-01 12:51:00+00:00,complete,D
127,Case_139,B1,2023-01-01 12:52:00+00:00,complete,B1
128,Case_402,E2,2023-01-01 12:56:00+00:00,complete,E2
129,Case_402,A,2023-01-01 13:14:00+00:00,complete,A_end
130,Case_843,A,2023-01-01 13:23:00+00:00,complete,A_start
131,Case_342,A,2023-01-01 13:24:00+00:00,complete,A_end
132,Case_139,B2,2023-01-01 13:28:00+00:00,complete,B2
133,Case_775,A,2023-01-01 13:40:00+00:00,complete,A_end
134,Case_843,C,2023-01-01 13:45:00+00:00,complete,C
135,Case_843,D,2023-01-01 13:47:00+00:00,complete,D
136,Case_730,A,2023-01-01 13:49:00+00:00,complete,A_start
137,Case_843,B1,2023-01-01 13:51:00+00:00,complete,B1
138,Case_730,C,2023-01-01 13:59:00+00:00,complete,C
139,Case_139,A,2023-01-01 13:59:00+00:00,complete,A_middle
140,Case_730,D,2023-01-01 14:03:00+00:00,complete,D
141,Case_730,B1,2023-01-01 14:06:00+00:00,complete,B1
142,Case_843,B2,2023-01-01 14:10:00+00:00,complete,B2
143,Case_139,F,2023-01-01 14:14:00+00:00,complete,F
144,Case_730,B2,2023-01-01 14:38:00+00:00,complete,B2
145,Case_843,A,2023-01-01 14:54:00+00:00,complete,A_middle
146,Case_843,E1,2023-01-01 15:18:00+00:00,complete,E1
147,Case_730,A,2023-01-01 15:26:00+00:00,complete,A_middle
148,Case_831,A,2023-01-01 15:27:00+00:00,complete,A_start
149,Case_139,A,2023-01-01 15:28:00+00:00,complete,A_end
150,Case_730,F,2023-01-01 15:38:00+00:00,complete,F
151,Case_843,E2,2023-01-01 15:52:00+00:00,complete,E2
152,Case_831,C,2023-01-01 15:55:00+00:00,complete,C
153,Case_831,D,2023-01-01 15:59:00+00:00,complete,D
154,Case_831,B1,2023-01-01 15:59:00+00:00,complete,B1
155,Case_271,A,2023-01-01 16:07:00+00:00,complete,A_start
