EventID,CaseID,Timestamp,Activity,Resource,NumericFeature_1,NumericFeature_2
1,1,2023-01-01 08:00:00,Finalize,UserC,10.77,18.51
2,1,2023-01-01 08:05:00,Archive,UserC,8.11,15.91
3,1,2023-01-01 08:10:00,Approve,UserC,8.72,12.48
4,1,2023-01-01 08:15:00,Archive,UserA,10.62,19.61
5,1,2023-01-01 08:20:00,Submit,UserB,13.85,10.44
6,1,2023-01-01 08:25:00,Approve,UserB,13.89,14.48
7,1,2023-01-01 08:30:00,Approve,UserB,10.81,17.28
8,1,2023-01-01 08:35:00,Approve,UserC,10.54,13.39
9,1,2023-01-01 08:40:00,Finalize,UserB,6.38,10.66
10,1,2023-01-01 08:45:00,Finalize,UserC,7.54,16.09
11,2,2023-01-01 08:00:00,Review,UserB,14.1,18.95
12,2,2023-01-01 08:05:00,Finalize,UserA,6.16,17.54
13,2,2023-01-01 08:10:00,Review,UserC,12.65,10.61
14,2,2023-01-01 08:15:00,Approve,UserA,12.08,18.42
15,2,2023-01-01 08:20:00,Archive,UserB,12.84,15.86
16,2,2023-01-01 08:25:00,Approve,UserC,13.57,19.85
17,2,2023-01-01 08:30:00,Finalize,UserC,13.68,19.36
18,2,2023-01-01 08:35:00,Archive,UserC,6.32,12.45
19,2,2023-01-01 08:40:00,Submit,UserC,13.21,16.03
20,2,2023-01-01 08:45:00,Review,UserC,12.84,11.27
21,3,2023-01-01 08:00:00,Approve,UserB,13.04,10.69
22,3,2023-01-01 08:05:00,Submit,UserB,6.83,15.53
23,3,2023-01-01 08:10:00,Review,UserB,5.05,13.55
24,3,2023-01-01 08:15:00,Submit,UserB,6.41,19.67
25,3,2023-01-01 08:20:00,Approve,UserB,7.06,16.75
26,3,2023-01-01 08:25:00,Approve,UserC,6.9,10.19
27,3,2023-01-01 08:30:00,Archive,UserA,12.13,10.16
28,3,2023-01-01 08:35:00,Archive,UserC,10.18,18.81
29,3,2023-01-01 08:40:00,Submit,UserC,8.27,17.98
30,3,2023-01-01 08:45:00,Approve,UserA,12.8,12.05
31,4,2023-01-01 08:00:00,Finalize,UserC,8.18,19.08
32,4,2023-01-01 08:05:00,Approve,UserB,8.89,15.64
33,4,2023-01-01 08:10:00,Review,UserB,9.07,11.78
34,4,2023-01-01 08:15:00,Approve,UserA,8.76,19.12
35,4,2023-01-01 08:20:00,Submit,UserA,7.6,13.36
36,4,2023-01-01 08:25:00,Approve,UserA,8.15,15.41
37,4,2023-01-01 08:30:00,Review,UserA,11.93,14.26
38,4,2023-01-01 08:35:00,Submit,UserB,8.17,18.59
39,4,2023-01-01 08:40:00,Submit,UserA,12.18,15.16
40,4,2023-01-01 08:45:00,Archive,UserA,8.38,13.59
41,5,2023-01-01 08:00:00,Approve,UserA,10.73,17.18
42,5,2023-01-01 08:05:00,Finalize,UserA,12.07,19.16
43,5,2023-01-01 08:10:00,Submit,UserC,12.85,13.16
44,5,2023-01-01 08:15:00,Submit,UserA,6.03,13.58
45,5,2023-01-01 08:20:00,Finalize,UserC,8.16,14.32
46,5,2023-01-01 08:25:00,Archive,UserA,7.06,17.16
47,5,2023-01-01 08:30:00,Submit,UserB,9.07,16.98
48,5,2023-01-01 08:35:00,Submit,UserC,13.08,11.7
49,5,2023-01-01 08:40:00,Archive,UserB,14.03,14.29
50,5,2023-01-01 08:45:00,Archive,UserA,12.75,18.09
51,6,2023-01-01 08:00:00,Review,UserC,10.6,15.26
52,6,2023-01-01 08:05:00,Archive,UserC,9.97,12.53
53,6,2023-01-01 08:10:00,Archive,UserC,10.35,18.18
54,6,2023-01-01 08:15:00,Review,UserA,9.39,15.16
55,6,2023-01-01 08:20:00,Finalize,UserA,9.76,10.4
56,6,2023-01-01 08:25:00,Review,UserA,5.94,10.31
57,6,2023-01-01 08:30:00,Submit,UserB,5.2,11.74
58,6,2023-01-01 08:35:00,Finalize,UserC,10.36,15.91
59,6,2023-01-01 08:40:00,Archive,UserB,13.78,16.93
60,6,2023-01-01 08:45:00,Review,UserA,14.28,13.82
61,7,2023-01-01 08:00:00,Archive,UserC,9.35,12.39
62,7,2023-01-01 08:05:00,Finalize,UserB,5.76,13.0
63,7,2023-01-01 08:10:00,Review,UserA,10.06,16.11
64,7,2023-01-01 08:15:00,Approve,UserA,6.32,10.89
65,7,2023-01-01 08:20:00,Archive,UserA,14.74,19.59
66,7,2023-01-01 08:25:00,Review,UserB,8.99,17.28
67,7,2023-01-01 08:30:00,Submit,UserA,13.51,19.63
68,7,2023-01-01 08:35:00,Submit,UserC,7.1,14.51
69,7,2023-01-01 08:40:00,Finalize,UserC,14.09,17.1
70,7,2023-01-01 08:45:00,Submit,UserC,7.15,17.35
71,8,2023-01-01 08:00:00,Finalize,UserC,9.26,15.51
72,8,2023-01-01 08:05:00,Submit,UserA,13.25,18.25
73,8,2023-01-01 08:10:00,Finalize,UserA,14.1,17.56
74,8,2023-01-01 08:15:00,Submit,UserA,12.57,18.61
75,8,2023-01-01 08:20:00,Review,UserB,6.48,11.74
76,8,2023-01-01 08:25:00,Finalize,UserA,6.25,17.07
77,8,2023-01-01 08:30:00,Archive,UserA,9.38,16.28
78,8,2023-01-01 08:35:00,Archive,UserA,5.93,13.02
79,8,2023-01-01 08:40:00,Approve,UserB,9.88,15.77
80,8,2023-01-01 08:45:00,Review,UserB,11.35,10.56
81,9,2023-01-01 08:00:00,Submit,UserB,10.86,13.05
82,9,2023-01-01 08:05:00,Submit,UserB,11.78,10.82
83,9,2023-01-01 08:10:00,Archive,UserC,6.01,19.4
84,9,2023-01-01 08:15:00,Approve,UserC,7.01,10.79
85,9,2023-01-01 08:20:00,Finalize,UserA,13.31,13.33
86,9,2023-01-01 08:25:00,Review,UserC,7.84,17.74
87,9,2023-01-01 08:30:00,Approve,UserC,13.34,18.27
88,9,2023-01-01 08:35:00,Finalize,UserB,7.19,19.98
89,9,2023-01-01 08:40:00,Review,UserC,13.92,19.09
90,9,2023-01-01 08:45:00,Archive,UserA,9.79,14.13
91,10,2023-01-01 08:00:00,Review,UserB,10.12,17.96
92,10,2023-01-01 08:05:00,Finalize,UserA,5.6,15.34
93,10,2023-01-01 08:10:00,Archive,UserB,5.65,17.39
94,10,2023-01-01 08:15:00,Review,UserC,11.81,16.56
95,10,2023-01-01 08:20:00,Approve,UserC,5.15,15.52
96,10,2023-01-01 08:25:00,Approve,UserA,13.93,18.21
97,10,2023-01-01 08:30:00,Finalize,UserB,12.84,10.75
98,10,2023-01-01 08:35:00,Approve,UserA,10.23,11.01
99,10,2023-01-01 08:40:00,Approve,UserA,14.0,14.2
100,10,2023-01-01 08:45:00,Approve,UserB,10.67,16.11
